timestamp,log_type,message,stacktrace
3.447145,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:324).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:501).  
4.4,Log,First Person Controller,UnityEngine.Debug:Log (object).  startTrial:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/startTrial.cs:15).  
4.4,Log,Start Trial,UnityEngine.Debug:Log (object).  startTrial:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/startTrial.cs:16).  
4.4,Log,Start countdown,UnityEngine.Debug:Log (object).  countdown:BeginCountdown () (at Assets/Scripts/countdown.cs:24).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:113).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:405).  startTrial:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/startTrial.cs:17).  
4.4,Exception,KeyNotFoundException: The key "targetScore" was not found in the settings heirarchy. Use UXF Session Debugger (UXF menu at top of unity editor) to check your settings are being applied correctly.,UXF.Settings.Get (System.String key) (at Assets/UXF/Scripts/Etc/Settings.cs:413).  UXF.Settings.GetInt (System.String key) (at Assets/UXF/Scripts/Etc/Settings.cs:88).  scoreCounter.setDrawScoreTrue () (at Assets/Scripts/scoreCounter.cs:36).  UnityEngine.Events.InvokableCall.Invoke () (at <ec69c01cdc394cb5bd57bfa59a57994a>:0).  UnityEngine.Events.UnityEvent`1[T0].Invoke (T0 arg0) (at <ec69c01cdc394cb5bd57bfa59a57994a>:0).  UXF.Trial.Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:113).  UXF.Session.BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:405).  startTrial.OnTriggerEnter (UnityEngine.Collider other) (at Assets/Scripts/startTrial.cs:17).  
4.42,Log,Punishment: Icosahedron picked up (-1.00 2.08 -1.00),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:21).  
4.42,Log,Current score: -2,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:25).  
5.68,Log,Punishment: Icosahedron picked up (-2.00 2.08 -2.00),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:21).  
5.68,Log,Current score: -4,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:25).  
5.88,Log,Punishment: Icosahedron picked up (-3.00 2.08 -3.00),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:21).  
5.88,Log,Current score: -6,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:25).  
6.92,Log,Punishment: Icosahedron picked up (-5.02 1.15 0.00),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:21).  
6.92,Log,Current score: -8,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:25).  
8.4,Log,Reward: Diamond picked up (3.74 1.12 4.59),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:38).  
8.4,Log,Current score: -7,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:42).  
9.2,Log,Reward: Diamond picked up (3.69 1.12 1.55),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:38).  
9.2,Log,Current score: -6,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:42).  
9.4,Log,Reward: Diamond picked up (2.43 1.12 0.00),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:38).  
9.4,Log,Current score: -5,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:42).  
19.82,Log,First Person Controller,UnityEngine.Debug:Log (object).  startTrial:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/startTrial.cs:15).  
19.82,Log,Start Trial,UnityEngine.Debug:Log (object).  startTrial:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/startTrial.cs:16).  
19.82,Log,Start countdown,UnityEngine.Debug:Log (object).  countdown:BeginCountdown () (at Assets/Scripts/countdown.cs:24).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:113).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:405).  startTrial:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/startTrial.cs:17).  
19.82,Exception,KeyNotFoundException: The key "targetScore" was not found in the settings heirarchy. Use UXF Session Debugger (UXF menu at top of unity editor) to check your settings are being applied correctly.,UXF.Settings.Get (System.String key) (at Assets/UXF/Scripts/Etc/Settings.cs:413).  UXF.Settings.GetInt (System.String key) (at Assets/UXF/Scripts/Etc/Settings.cs:88).  scoreCounter.setDrawScoreTrue () (at Assets/Scripts/scoreCounter.cs:36).  UnityEngine.Events.InvokableCall.Invoke () (at <ec69c01cdc394cb5bd57bfa59a57994a>:0).  UnityEngine.Events.UnityEvent`1[T0].Invoke (T0 arg0) (at <ec69c01cdc394cb5bd57bfa59a57994a>:0).  UXF.Trial.Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:113).  UXF.Session.BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:405).  startTrial.OnTriggerEnter (UnityEngine.Collider other) (at Assets/Scripts/startTrial.cs:17).  
19.84,Log,Punishment: Icosahedron picked up (-1.00 2.08 -1.00),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:21).  
19.84,Log,Current score: -7,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:25).  
21.82,Log,Reward: Diamond picked up (2.85 1.12 1.26),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:38).  
21.82,Log,Current score: -6,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:42).  
21.94,Log,Reward: Diamond picked up (1.49 1.12 0.33),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:38).  
21.94,Log,Current score: -5,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:42).  
22.08,Log,Reward: Diamond picked up (0.10 1.12 -0.50),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:38).  
22.08,Log,Current score: -4,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:42).  
22.22,Log,First Person Controller,UnityEngine.Debug:Log (object).  startTrial:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/startTrial.cs:15).  
22.22,Log,Start Trial,UnityEngine.Debug:Log (object).  startTrial:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/startTrial.cs:16).  
22.22,Exception,NoSuchTrialException: There is no next trial. Reached the end of trial list. If you are at the start of the session perhaps you tried to start the next trial before generating your trials? If you are at the end you can use BeginNextTrialSafe to do nothing if there is no next trial.,UXF.Session.GetNextTrial () (at Assets/UXF/Scripts/Session.cs:388).  UXF.Session.get_NextTrial () (at Assets/UXF/Scripts/Session.cs:182).  UXF.Session.BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:405).  startTrial.OnTriggerEnter (UnityEngine.Collider other) (at Assets/Scripts/startTrial.cs:17).  
22.52,Log,Punishment: Icosahedron picked up (-2.00 2.08 -2.00),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:21).  
22.52,Log,Current score: -6,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:25).  
22.66,Log,Punishment: Icosahedron picked up (-3.00 2.08 -3.00),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:21).  
22.66,Log,Current score: -8,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:25).  
