time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
3.98093,0.43049,0,-1.014004,0,347.1878,0
4.014835,0.386661,0,-0.82128,0,346.1959,0
4.019963,0.386661,0,-0.82128,0,345.7986,0
4.024818,0.338172,0,-0.629675,0,345.5995,0
4.029459,0.338172,0,-0.629675,0,345.4665,0
4.033644,0.338172,0,-0.629675,0,345.4222,0
4.037372,0.338172,0,-0.629675,0,345.4074,0
4.0424,0.288377,0,-0.438405,0,345.3358,0
4.049721,0.288377,0,-0.438405,0,345.3119,0
4.058747,0.288377,0,-0.438405,0,345.304,0
4.062478,0.238236,0,-0.247225,0,345.3013,0
4.067358,0.238236,0,-0.247225,0,345.3004,0
4.073226,0.238236,0,-0.247225,0,345.3001,0
4.078388,0.238236,0,-0.247225,0,345.3,0
4.082582,0.188082,0,-0.056049,0,345.3,0
4.086618,0.188082,0,-0.056049,0,345.3,0
4.090161,0.188082,0,-0.056049,0,345.3,0
4.094279,0.188082,0,-0.056049,0,345.3,0
4.09795,0.188082,0,-0.056049,0,345.3,0
4.102277,0.137928,0,0.135127,0,345.3,0
4.106896,0.137928,0,0.135127,0,345.2333,0
4.110409,0.137928,0,0.135127,0,345.2111,0
4.114888,0.137928,0,0.135127,0,345.2037,0
4.120959,0.089069,0,0.320099,0,345.1346,0
4.125053,0.089069,0,0.320099,0,345.1115,0
4.129292,0.089069,0,0.320099,0,345.1038,0
4.132977,0.089069,0,0.320099,0,345.1013,0
4.136748,0.089069,0,0.320099,0,345.1004,0
4.140244,0.042852,0,0.4938,0,345.1001,0
4.144552,0.042852,0,0.4938,0,345.1,0
4.152127,0.042852,0,0.4938,0,345.1,0
4.186012,-0.035462,0,0.788126,0,345.1,0
4.190236,-0.035462,0,0.788126,0,345.1,0
4.193971,-0.035462,0,0.788126,0,345.1,0
4.197788,-0.035462,0,0.788126,0,345.1,0
4.201585,-0.072217,0,0.926259,0,345.1,0
4.205826,-0.072217,0,0.926259,0,345.1,0
4.209512,-0.072217,0,0.926259,0,345.1,0
4.213261,-0.072217,0,0.926259,0,345.1,0
4.216876,-0.072217,0,0.926259,0,345.1,0
4.220519,-0.10605,0,1.053414,0,345.1,0
4.22505,-0.10605,0,1.053414,0,345.1,0
4.228693,-0.10605,0,1.053414,0,345.1,0
4.23259,-0.10605,0,1.053414,0,345.1,0
4.236051,-0.10605,0,1.053414,0,345.1,0
4.240487,-0.136803,0,1.168992,0,345.1,0
4.244876,-0.136803,0,1.168992,0,345.1,0
4.248895,-0.136803,0,1.168992,0,345.1,0
4.253225,-0.136803,0,1.168992,0,345.1,0
4.256936,-0.136803,0,1.168992,0,345.1,0
4.26488,-0.163792,0,1.270425,0,344.9667,0
4.269631,-0.163792,0,1.270425,0,344.8556,0
4.274153,-0.163792,0,1.270425,0,344.7518,0
4.278535,-0.163792,0,1.270425,0,344.5173,0
4.283389,-0.188847,0,1.360877,0,344.3058,0
4.288561,-0.188847,0,1.360877,0,343.9019,0
4.293041,-0.188847,0,1.360877,0,343.5673,0
4.29821,-0.188847,0,1.360877,0,343.0558,0
4.302903,-0.212789,0,1.43946,0,342.6852,0
4.308016,-0.212789,0,1.43946,0,342.2284,0
4.313111,-0.212789,0,1.43946,0,341.6095,0
4.317427,-0.212789,0,1.43946,0,341.0698,0
4.321727,-0.235775,0,1.506482,0,340.4899,0
4.326563,-0.235775,0,1.506482,0,339.8966,0
4.331591,-0.235775,0,1.506482,0,339.1656,0
4.336043,-0.235775,0,1.506482,0,338.5219,0
4.340394,-0.257617,0,1.561994,0,337.7073,0
4.345513,-0.257617,0,1.561994,0,336.7024,0
4.350172,-0.257617,0,1.561994,0,335.8341,0
4.354557,-0.257617,0,1.561994,0,334.678,0
4.359293,-0.257617,0,1.561994,0,333.3593,0
4.363697,-0.278097,0,1.602818,0,332.0531,0
4.368573,-0.278097,0,1.602818,0,330.6844,0
4.378053,-0.278097,0,1.602818,0,328.2281,0
4.382463,-0.296217,0,1.632074,0,326.276,0
4.387533,-0.296217,0,1.632074,0,324.4254,0
4.39361,-0.296217,0,1.632074,0,322.4084,0
4.397878,-0.296217,0,1.632074,0,321.0028,0
4.40238,-0.310352,0,1.649531,0,319.4676,0
4.407598,-0.310352,0,1.649531,0,317.8225,0
4.412552,-0.310352,0,1.649531,0,316.2075,0
4.416791,-0.310352,0,1.649531,0,314.8692,0
4.421659,-0.318073,0,1.657218,0,313.4231,0
4.426707,-0.318073,0,1.657218,0,312.0077,0
4.431157,-0.318073,0,1.657218,0,310.6025,0
4.435541,-0.318073,0,1.657218,0,309.3342,0
4.440865,-0.318084,0,1.657226,0,308.2447,0
4.445512,-0.318084,0,1.657226,0,306.8149,0
4.450398,-0.318084,0,1.657226,0,305.4716,0
4.455048,-0.318084,0,1.657226,0,304.4239,0
4.459629,-0.318084,0,1.657226,0,303.2746,0
4.463973,-0.318084,0,1.657226,0,302.3582,0
4.468993,-0.318084,0,1.657226,0,301.2527,0
4.473559,-0.318084,0,1.657226,0,300.4176,0
4.482683,-0.318084,0,1.657226,0,299.2058,0
4.488459,-0.318084,0,1.657226,0,298.2686,0
4.492677,-0.318084,0,1.657226,0,297.5562,0
4.497616,-0.318084,0,1.657226,0,296.9854,0
4.50216,-0.318084,0,1.657226,0,296.5284,0
4.507239,-0.318084,0,1.657226,0,295.9761,0
4.512263,-0.318084,0,1.657226,0,295.5254,0
4.516968,-0.318084,0,1.657226,0,295.1085,0
4.521498,-0.318084,0,1.657226,0,294.7028,0
4.526362,-0.318084,0,1.657226,0,294.4343,0
4.530848,-0.318084,0,1.657226,0,294.1448,0
4.535363,-0.318084,0,1.657226,0,293.9816,0
4.540086,-0.318084,0,1.657226,0,293.7939,0
4.544889,-0.318084,0,1.657226,0,293.6646,0
4.549349,-0.318084,0,1.657226,0,293.5549,0
4.553372,-0.318084,0,1.657226,0,293.5183,0
4.558781,-0.318084,0,1.657226,0,293.3727,0
4.565649,-0.318084,0,1.657226,0,293.1909,0
4.571728,-0.318084,0,1.657226,0,292.997,0
4.576084,-0.318084,0,1.657226,0,292.6656,0
4.580675,-0.318084,0,1.657226,0,292.4219,0
4.585401,-0.318084,0,1.657226,0,292.074,0
4.589736,-0.318084,0,1.657226,0,291.758,0
4.594654,-0.318084,0,1.657226,0,291.386,0
4.603232,-0.318084,0,1.657226,0,290.862,0
4.607905,-0.318084,0,1.657226,0,290.4873,0
4.612799,-0.318084,0,1.657226,0,290.1624,0
4.616662,-0.318084,0,1.657226,0,289.9208,0
4.620722,-0.318084,0,1.657226,0,289.7736,0
4.625157,-0.318084,0,1.657226,0,289.6579,0
4.6295,-0.318084,0,1.657226,0,289.5526,0
4.632961,-0.318084,0,1.657226,0,289.5175,0
4.636525,-0.318084,0,1.657226,0,289.5059,0
4.640236,-0.318084,0,1.657226,0,289.502,0
4.644341,-0.318084,0,1.657226,0,289.5006,0
4.648223,-0.318084,0,1.657226,0,289.5002,0
4.651786,-0.318084,0,1.657226,0,289.5001,0
4.655368,-0.318084,0,1.657226,0,289.5,0
4.658978,-0.318084,0,1.657226,0,289.5,0
4.662613,-0.318084,0,1.657226,0,289.5,0
4.666339,-0.318084,0,1.657226,0,289.5,0
4.66986,-0.318084,0,1.657226,0,289.5,0
4.673541,-0.318084,0,1.657226,0,289.5,0
4.677018,-0.318084,0,1.657226,0,289.5,0
4.680397,-0.318084,0,1.657226,0,289.5,0
4.684515,-0.318084,0,1.657226,0,289.5,0
4.688295,-0.318084,0,1.657226,0,289.5,0
4.692512,-0.318084,0,1.657226,0,289.5,0
4.696135,-0.318084,0,1.657226,0,289.5,0
4.699808,-0.318084,0,1.657226,0,289.5,0
4.703407,-0.318084,0,1.657226,0,289.5,0
4.708071,-0.318084,0,1.657226,0,289.5667,0
4.71167,-0.318084,0,1.657226,0,289.5889,0
4.721466,-0.318084,0,1.657226,0,289.663,0
4.725313,-0.318084,0,1.657226,0,289.6877,0
4.728604,-0.318084,0,1.657226,0,289.6959,0
4.732498,-0.318084,0,1.657226,0,289.6986,0
4.735841,-0.318084,0,1.657226,0,289.6996,0
4.739657,-0.318084,0,1.657226,0,289.6999,0
4.743106,-0.318084,0,1.657226,0,289.7,0
4.747057,-0.318084,0,1.657226,0,289.7,0
4.750432,-0.318084,0,1.657226,0,289.7,0
4.754369,-0.318084,0,1.657226,0,289.7,0
4.757891,-0.318084,0,1.657226,0,289.7,0
4.761547,-0.318084,0,1.657226,0,289.7,0
4.765429,-0.318084,0,1.657226,0,289.7,0
4.769262,-0.318084,0,1.657226,0,289.7,0
4.773495,-0.318084,0,1.657226,0,289.6333,0
4.777232,-0.318084,0,1.657226,0,289.5444,0
4.781559,-0.318084,0,1.657226,0,289.4482,0
4.78675,-0.318084,0,1.657226,0,289.3494,0
4.791006,-0.318084,0,1.657226,0,289.2498,0
