time,FPS
3.98093,292
4.014835,292
4.019963,292
4.024818,292
4.029459,292
4.033644,292
4.037372,292
4.0424,292
4.049721,292
4.058747,292
4.062478,292
4.067358,292
4.073226,292
4.078388,292
4.082582,292
4.086618,292
4.090161,292
4.094279,292
4.09795,292
4.102277,292
4.106896,292
4.110409,292
4.114888,292
4.120959,292
4.125053,292
4.129292,292
4.132977,292
4.136748,292
4.140244,292
4.144552,292
4.152127,292
4.186012,292
4.190236,292
4.193971,292
4.197788,292
4.201585,292
4.205826,292
4.209512,292
4.213261,292
4.216876,292
4.220519,292
4.22505,292
4.228693,292
4.23259,292
4.236051,292
4.240487,292
4.244876,292
4.248895,292
4.253225,292
4.256936,292
4.26488,292
4.269631,292
4.274153,292
4.278535,292
4.283389,292
4.288561,292
4.293041,292
4.29821,292
4.302903,292
4.308016,292
4.313111,292
4.317427,292
4.321727,292
4.326563,292
4.331591,292
4.336043,292
4.340394,292
4.345513,292
4.350172,292
4.354557,292
4.359293,292
4.363697,292
4.368573,292
4.378053,292
4.382463,292
4.387533,292
4.39361,292
4.397878,292
4.40238,292
4.407598,292
4.412552,292
4.416791,292
4.421659,292
4.426707,292
4.431157,292
4.435541,292
4.440865,292
4.445512,292
4.450398,292
4.455048,292
4.459629,192
4.463973,192
4.468993,192
4.473559,192
4.482683,192
4.488459,192
4.492677,192
4.497616,192
4.50216,192
4.507239,192
4.512263,192
4.516968,192
4.521498,192
4.526362,192
4.530848,192
4.535363,192
4.540086,192
4.544889,192
4.549349,192
4.553372,192
4.558781,192
4.565649,192
4.571728,192
4.576084,192
4.580675,192
4.585401,192
4.589736,192
4.594654,192
4.603232,192
4.607905,192
4.612799,192
4.616662,192
4.620722,192
4.625157,192
4.6295,192
4.632961,192
4.636525,192
4.640236,192
4.644341,192
4.648223,192
4.651786,192
4.655368,192
4.658978,192
4.662613,192
4.666339,192
4.66986,192
4.673541,192
4.677018,192
4.680397,192
4.684515,192
4.688295,192
4.692512,192
4.696135,192
4.699808,192
4.703407,192
4.708071,192
4.71167,192
4.721466,192
