time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
16.58244,0.769553,0,-0.943132,0,7.799989,0
16.61931,0.796377,0,-0.747315,0,7.799989,0
16.62371,0.8232,0,-0.551498,0,7.799989,0
16.62811,0.8232,0,-0.551498,0,7.799989,0
16.63649,0.8232,0,-0.551498,0,7.799989,0
16.64,0.850024,0,-0.355681,0,7.799989,0
16.64818,0.850024,0,-0.355681,0,7.799989,0
16.65605,0.850024,0,-0.355681,0,7.799989,0
16.66238,0.876847,0,-0.159864,0,7.799989,0
16.66614,0.876847,0,-0.159864,0,7.799989,0
16.67023,0.876847,0,-0.159864,0,7.799989,0
16.67366,0.876847,0,-0.159864,0,7.799989,0
16.67717,0.876847,0,-0.159864,0,7.799989,0
16.68033,0.903671,0,0.035953,0,7.799989,0
16.68411,0.903671,0,0.035953,0,7.799989,0
16.68747,0.903671,0,0.035953,0,7.799989,0
16.69091,0.903671,0,0.035953,0,7.799989,0
16.69479,0.903671,0,0.035953,0,7.799989,0
16.69811,0.903671,0,0.035953,0,7.799989,0
16.70155,0.930494,0,0.23177,0,7.799989,0
16.70524,0.930494,0,0.23177,0,7.799989,0
16.70856,0.930494,0,0.23177,0,7.799989,0
16.712,0.930494,0,0.23177,0,7.799989,0
16.71551,0.930494,0,0.23177,0,7.799989,0
16.71945,0.930494,0,0.23177,0,7.799989,0
16.7228,0.957318,0,0.427587,0,7.799989,0
16.72672,0.957318,0,0.427587,0,7.799989,0
16.73013,0.957318,0,0.427587,0,7.799989,0
16.73368,0.957318,0,0.427587,0,7.799989,0
16.73717,0.957318,0,0.427587,0,7.799989,0
16.74095,0.984141,0,0.623404,0,7.799989,0
16.74859,0.984141,0,0.623404,0,7.799989,0
16.7557,0.984141,0,0.623404,0,7.799989,0
16.75905,0.984141,0,0.623404,0,7.799989,0
16.7625,1.010965,0,0.819221,0,7.799989,0
16.76703,1.010965,0,0.819221,0,7.799989,0
16.77041,1.010965,0,0.819221,0,7.799989,0
16.7738,1.010965,0,0.819221,0,7.799989,0
16.77738,1.010965,0,0.819221,0,7.799989,0
16.78082,1.037788,0,1.015037,0,7.799989,0
16.78442,1.037788,0,1.015037,0,7.799989,0
