time,FPS
20.92079,364
20.94308,364
20.94693,364
20.95017,364
20.95375,364
20.95716,364
20.9605,364
20.96482,364
20.96816,364
20.97153,364
20.97495,364
20.97826,364
20.98168,364
20.9854,364
20.98955,364
20.99304,364
20.99653,364
20.99982,364
21.00343,364
21.01261,364
21.01649,364
21.0198,364
21.02323,364
21.02704,364
21.03036,364
21.03389,364
21.03782,364
21.04255,364
21.04649,364
21.05034,364
21.05617,364
21.06132,364
21.06557,364
21.06898,364
21.07241,364
21.07586,364
21.07924,364
21.08252,364
21.08636,364
21.08964,364
21.09356,364
21.09694,364
21.10035,364
21.10406,364
21.10808,364
21.11178,364
21.11523,364
21.11868,364
21.12485,364
21.12881,364
21.13215,364
21.13563,364
21.13929,364
21.14272,364
21.14659,364
21.14997,364
21.15357,364
21.1569,364
21.1603,364
21.16412,364
21.16805,364
21.17139,364
21.17494,364
21.17831,364
21.18213,364
21.18617,364
21.18963,364
21.19291,364
21.19685,364
21.20051,364
21.20474,364
21.20856,364
21.2125,364
21.21658,364
21.22041,364
21.22451,364
21.22857,364
21.23264,364
21.23676,364
21.24045,364
21.24485,364
21.24878,364
21.25276,364
21.25977,364
21.26409,364
21.2684,364
21.27275,364
21.27668,364
21.28055,364
21.28498,364
21.28942,364
21.29358,364
21.29744,364
21.30162,364
21.30606,364
21.30986,364
21.31469,364
21.31881,364
21.32279,270
21.3271,270
21.3308,270
21.33478,270
21.33864,270
21.34253,270
21.34698,270
21.35127,270
21.35548,270
21.35912,270
21.36367,270
21.3679,270
21.37199,270
21.37543,270
21.37904,270
21.38565,270
21.38943,270
21.39281,270
21.3963,270
21.39976,270
21.40341,270
21.40716,270
21.41068,270
21.41407,270
21.4175,270
21.42123,270
21.42522,270
21.42903,270
21.43259,270
21.43627,270
21.43986,270
21.44325,270
21.4471,270
21.45048,270
21.45406,270
21.45852,270
21.46306,270
21.46688,270
21.47027,270
21.47381,270
21.47719,270
21.48071,270
21.48493,270
21.48858,270
21.49192,270
21.49542,270
21.49891,270
21.50236,270
21.50667,270
21.51028,270
21.51408,270
21.51737,270
21.52107,270
21.52868,270
21.5322,270
21.53628,270
21.53979,270
21.54363,270
21.54767,270
21.55092,270
21.55448,270
21.55787,270
21.56173,270
21.56576,270
21.5694,270
21.57299,270
21.57665,270
21.58022,270
21.58429,270
21.58748,270
21.5912,270
21.59449,270
21.59839,270
21.60159,270
21.60628,270
21.61102,270
21.61427,270
21.61754,270
21.62096,270
21.62463,270
21.62806,270
21.63528,270
21.64262,270
21.64936,270
21.65299,270
21.65626,270
21.6594,270
21.66277,270
21.66667,270
21.66999,270
21.67327,270
21.67667,270
21.68058,270
21.68418,270
21.68812,270
21.69156,270
21.69553,270
21.69908,270
21.70273,270
21.7068,270
21.71068,270
21.71421,270
21.71803,270
21.72186,270
21.72639,270
21.73036,270
21.73405,270
21.74104,270
21.74556,270
21.74931,270
21.75317,270
21.75832,270
21.76381,270
21.76807,270
21.77204,270
21.77577,270
21.77968,270
21.78322,270
21.78746,270
21.79114,270
21.7947,270
21.7985,270
21.80229,270
21.80625,270
21.8098,270
21.81313,270
21.81667,270
21.82048,254
21.82409,254
21.82813,254
21.83145,254
21.83503,254
21.84156,254
21.84506,254
21.8488,254
21.85231,254
21.85571,254
21.85925,254
21.8629,254
21.86683,254
21.87015,254
21.87368,254
21.87719,254
21.88066,254
21.88439,254
21.88767,254
21.89167,254
21.89493,254
21.89862,254
21.90183,254
21.90588,254
21.91032,254
21.91539,254
21.91887,254
21.92234,254
21.92635,254
21.93277,254
21.93627,254
21.93992,254
21.94313,254
21.94717,254
21.95037,254
21.95403,254
21.95734,254
21.96074,254
21.96476,254
21.96853,254
21.97195,254
21.97563,254
21.97894,254
21.98274,254
21.98665,254
21.99027,254
21.99382,254
21.99724,254
22.001,254
22.00461,254
22.00806,254
22.01138,254
22.01507,254
22.0214,254
22.02494,254
22.02839,254
22.03167,254
22.035,254
22.03828,254
22.04173,254
22.04542,254
22.04885,254
22.05208,254
22.05556,254
22.05908,254
22.06289,254
22.06664,254
22.07008,254
22.07351,254
22.07712,254
22.08042,254
22.08434,254
22.08788,254
22.0914,254
22.09466,254
22.09812,254
22.10138,254
22.10803,254
22.1115,254
22.11481,254
22.11827,254
22.12166,254
22.12549,254
22.12891,254
22.13247,254
22.13593,254
22.13939,254
22.14267,254
22.14643,254
22.14986,254
22.15339,254
22.15674,254
22.16013,254
22.16376,254
22.16734,254
22.17052,254
22.17407,254
22.17746,254
22.18099,254
22.18459,254
22.19073,254
22.19403,254
22.19749,254
22.20067,254
22.20453,254
22.20789,254
22.21144,254
22.21471,254
22.21813,254
22.22135,254
22.22514,254
22.22855,254
22.23182,254
22.2351,254
22.23848,254
22.24196,254
22.24568,254
22.24885,254
22.25282,254
22.25761,254
22.26085,254
22.26471,254
22.26799,254
22.2718,254
22.28018,254
22.28387,254
22.28766,254
22.2909,254
22.29856,254
22.30214,254
22.30596,254
22.30922,254
22.31274,254
22.3161,254
22.31944,268
22.32264,268
22.32646,268
22.32977,268
22.3332,268
22.33658,268
22.33983,268
22.34316,268
22.34708,268
22.35032,268
22.35354,268
22.35687,268
22.36008,268
22.36408,268
22.36791,268
22.37129,268
22.37463,268
22.37812,268
22.38154,268
22.38528,268
22.38865,268
22.39211,268
22.3956,268
22.39894,268
22.40234,268
22.40962,268
22.41789,268
22.42608,268
22.43123,268
22.43435,268
22.43815,268
22.44145,268
22.44569,268
22.44899,268
22.4526,268
22.45593,268
22.45937,268
22.46277,268
22.46671,268
22.47019,268
22.47428,268
22.47762,268
22.48107,268
22.48481,268
22.48866,268
22.49192,268
22.49538,268
22.49927,268
22.50292,268
22.50664,268
22.51035,268
22.51429,268
22.51761,268
22.52132,268
22.52493,268
22.532,268
22.53596,268
22.53973,268
22.54318,268
22.54726,268
22.55086,268
22.55422,268
22.55767,268
22.56088,268
22.56466,268
22.56817,268
22.57366,268
22.57877,268
22.58258,268
22.58642,268
22.59034,268
22.59357,268
22.59714,268
22.60074,268
22.6046,268
22.60826,268
22.6121,268
22.6154,268
22.61938,268
22.62293,268
22.62721,268
22.63258,268
22.63644,268
22.64362,268
22.64779,268
22.65153,268
22.65569,268
22.65971,268
22.66306,268
22.6676,268
22.67116,268
22.67492,268
22.67845,268
22.6825,268
22.68665,268
22.69063,268
22.69502,268
22.69865,268
22.70278,268
22.70707,268
22.7109,268
22.71471,268
22.71874,268
22.72265,268
22.72694,268
22.73081,268
22.73455,268
22.7388,268
22.74292,268
22.74762,268
22.75183,268
22.7557,268
22.76321,268
22.76796,268
22.77186,268
22.77561,268
22.77979,268
22.78369,268
22.78801,268
22.79179,268
22.79553,268
22.79972,268
22.80352,268
22.80766,268
22.81168,268
22.81575,268
22.81984,252
22.82368,252
22.82807,252
22.83194,252
22.83585,252
22.83969,252
22.84362,252
22.84812,252
22.85176,252
22.85571,252
22.85969,252
22.86378,252
22.86855,252
22.87255,252
22.88237,252
22.88815,252
22.89211,252
22.89557,252
22.8993,252
22.90267,252
22.90724,252
22.91093,252
22.91426,252
22.91769,252
22.92112,252
22.92577,252
22.92933,252
22.93303,252
22.93699,252
22.94035,252
22.94469,252
22.94866,252
22.95275,252
22.95642,252
22.96058,252
22.9651,252
22.96883,252
22.97285,252
22.97683,252
22.98091,252
22.985,252
22.98878,252
22.99603,252
22.99936,252
23.00279,252
23.00651,252
23.00981,252
23.0133,252
23.01695,252
23.02032,252
23.02415,252
23.02779,252
23.03151,252
23.03496,252
23.0383,252
23.04185,252
23.04582,252
23.04974,252
23.05325,252
23.05759,252
23.06129,252
23.06556,252
23.0697,252
23.07361,252
23.07762,252
23.08134,252
23.08572,252
23.0896,252
23.09351,252
23.09685,252
23.10466,252
23.10926,252
23.11424,252
23.11829,252
23.12161,252
23.1255,252
23.12888,252
23.13247,252
23.13573,252
23.13915,252
23.14251,252
23.14646,252
23.14977,252
23.1534,252
23.15668,252
23.16017,252
23.16383,252
23.1674,252
23.17071,252
23.17421,252
23.17875,252
23.18239,252
23.18607,252
23.18947,252
23.193,252
23.19665,252
23.20004,252
23.20384,252
23.20757,252
23.21524,252
23.21852,252
23.22197,252
23.22563,252
23.22917,252
23.23248,252
23.23608,252
23.23946,252
23.24293,252
23.24664,252
23.25016,252
23.25358,252
23.25709,252
23.26052,252
23.26433,252
23.26793,252
23.27158,252
23.27495,252
23.27848,252
23.28194,252
23.28573,252
23.28908,252
23.29251,252
23.29582,252
23.29937,252
23.30275,252
23.3067,252
23.31008,252
23.31363,252
23.32129,256
23.33132,256
23.33473,256
23.33804,256
23.34149,256
23.34512,256
23.34859,256
23.35197,256
23.35551,256
23.35888,256
23.36235,256
23.36613,256
23.36953,256
23.37291,256
23.37655,256
23.37974,256
23.38316,256
23.38701,256
23.3904,256
23.39363,256
23.39709,256
23.40032,256
23.40432,256
23.40778,256
23.41118,256
23.41444,256
23.4182,256
23.42153,256
23.42551,256
23.43247,256
23.4358,256
23.43918,256
23.44251,256
23.44703,256
23.45038,256
23.4538,256
23.45743,256
23.46093,256
23.46537,256
23.46899,256
23.47246,256
23.47636,256
23.48019,256
23.48442,256
23.48958,256
23.4936,256
23.4968,256
23.50024,256
23.50409,256
23.50816,256
23.51186,256
23.51578,256
23.51939,256
23.52369,256
23.52847,256
23.53211,256
23.53625,256
23.53987,256
23.54819,256
23.55276,256
23.55673,256
23.5607,256
23.56444,256
23.56781,256
23.57146,256
23.57468,256
23.57829,256
23.58167,256
23.5855,256
23.58897,256
23.59285,256
23.59629,256
23.59968,256
23.603,256
23.60713,256
23.61053,256
23.62143,256
23.62539,256
23.62863,256
23.63206,256
23.63532,256
23.63872,256
23.64208,256
23.64587,256
23.64923,256
23.6527,256
23.65603,256
23.65948,256
23.66279,256
23.66665,256
23.67011,256
23.67359,256
23.67722,256
23.68106,256
23.68533,256
23.6891,256
23.69242,256
23.6991,256
23.70694,256
23.71101,256
23.71475,256
23.71853,256
23.72263,256
23.72668,256
23.73071,256
23.73454,256
23.73854,256
23.74277,256
23.74797,256
23.75329,256
23.7573,256
23.76171,256
23.76641,256
23.77031,256
23.77418,256
23.77869,256
23.78254,256
23.78706,256
