time,rayIndex,x,y,objectDetected
16.58244,0,0.05,0.05,trialStarter
16.58244,1,0.15,0.05,trialStarter
16.58244,2,0.25,0.05,trialStarter
16.58244,3,0.35,0.05,trialStarter
16.58244,4,0.45,0.05,Floor
16.58244,5,0.55,0.05,Floor
16.58244,6,0.65,0.05,Floor
16.58244,7,0.75,0.05,Floor
16.58244,8,0.85,0.05,Floor
16.58244,9,0.95,0.05,Floor
16.58244,10,0.05,0.15,trialStarter
16.58244,11,0.15,0.15,trialStarter
16.58244,12,0.25,0.15,trialStarter
16.58244,13,0.35,0.15,Floor
16.58244,14,0.45,0.15,Floor
16.58244,15,0.55,0.15,Floor
16.58244,16,0.65,0.15,Floor
16.58244,17,0.75,0.15,Floor
16.58244,18,0.85,0.15,Floor
16.58244,19,0.95,0.15,Floor
16.58244,20,0.05,0.25,Floor
16.58244,21,0.15,0.25,Floor
16.58244,22,0.25,0.25,Floor
16.58244,23,0.35,0.25,Floor
16.58244,24,0.45,0.25,Floor
16.58244,25,0.55,0.25,Floor
16.58244,26,0.65,0.25,Floor
16.58244,27,0.75,0.25,Floor
16.58244,28,0.85,0.25,Floor
16.58244,29,0.95,0.25,Floor
16.58244,30,0.05,0.35,Floor
16.58244,31,0.15,0.35,Floor
16.58244,32,0.25,0.35,Floor
16.58244,33,0.35,0.35,Floor
16.58244,34,0.45,0.35,Floor
16.58244,35,0.55,0.35,Floor
16.58244,36,0.65,0.35,Floor
16.58244,37,0.75,0.35,Floor
16.58244,38,0.85,0.35,Floor
16.58244,39,0.95,0.35,Floor
16.58244,40,0.05,0.45,Floor
16.58244,41,0.15,0.45,Floor
16.58244,42,0.25,0.45,Floor
16.58244,43,0.35,0.45,Floor
16.58244,44,0.45,0.45,Floor
16.58244,45,0.55,0.45,Floor
16.58244,46,0.65,0.45,Floor
16.58244,47,0.75,0.45,Floor
16.58244,48,0.85,0.45,Floor
16.58244,49,0.95,0.45,Floor
16.58244,50,0.05,0.55,Wall1
16.58244,51,0.15,0.55,Wall1
16.58244,52,0.25,0.55,Wall1
16.58244,53,0.35,0.55,Wall1
16.58244,54,0.45,0.55,Wall1
16.58244,55,0.55,0.55,Wall1
16.58244,56,0.65,0.55,Wall1
16.58244,57,0.75,0.55,Wall1
16.58244,58,0.85,0.55,Wall2
16.58244,59,0.95,0.55,Wall2
16.58244,60,0.05,0.65,Wall1
16.58244,61,0.15,0.65,Wall1
16.58244,62,0.25,0.65,Wall1
16.58244,63,0.35,0.65,Wall1
16.58244,64,0.45,0.65,Wall1
16.58244,65,0.55,0.65,Wall1
16.58244,66,0.65,0.65,Wall1
16.58244,67,0.75,0.65,Wall1
16.58244,68,0.85,0.65,Wall2
16.58244,69,0.95,0.65,Wall2
16.58244,70,0.05,0.75,Wall1
16.58244,71,0.15,0.75,Wall1
16.58244,72,0.25,0.75,Wall1
16.58244,73,0.35,0.75,Wall1
16.58244,74,0.45,0.75,Wall1
16.58244,75,0.55,0.75,Wall1
16.58244,76,0.65,0.75,Wall1
16.58244,77,0.75,0.75,Wall1
16.58244,78,0.85,0.75,Wall2
16.58244,79,0.95,0.75,Wall2
16.58244,80,0.05,0.85,Wall1
16.58244,81,0.15,0.85,Wall1
16.58244,82,0.25,0.85,Wall1
16.58244,83,0.35,0.85,Wall1
16.58244,84,0.45,0.85,Wall1
16.58244,85,0.55,0.85,Wall1
16.58244,86,0.65,0.85,Wall1
16.58244,88,0.85,0.85,Wall2
16.58244,89,0.95,0.85,Wall2
16.61931,0,0.05,0.05,trialStarter
16.61931,1,0.15,0.05,trialStarter
16.61931,2,0.25,0.05,trialStarter
16.61931,3,0.35,0.05,Floor
16.61931,4,0.45,0.05,Floor
16.61931,5,0.55,0.05,Floor
16.61931,6,0.65,0.05,Floor
16.61931,7,0.75,0.05,Floor
16.61931,8,0.85,0.05,Floor
16.61931,9,0.95,0.05,Floor
16.61931,10,0.05,0.15,Floor
16.61931,11,0.15,0.15,Floor
16.61931,12,0.25,0.15,Floor
16.61931,13,0.35,0.15,Floor
16.61931,14,0.45,0.15,Floor
16.61931,15,0.55,0.15,Floor
16.61931,16,0.65,0.15,Floor
16.61931,17,0.75,0.15,Floor
16.61931,18,0.85,0.15,Floor
16.61931,19,0.95,0.15,Floor
16.61931,20,0.05,0.25,Floor
16.61931,21,0.15,0.25,Floor
16.61931,22,0.25,0.25,Floor
16.61931,23,0.35,0.25,Floor
16.61931,24,0.45,0.25,Floor
16.61931,25,0.55,0.25,Floor
16.61931,26,0.65,0.25,Floor
16.61931,27,0.75,0.25,Floor
16.61931,28,0.85,0.25,Floor
16.61931,29,0.95,0.25,Floor
16.61931,30,0.05,0.35,Floor
16.61931,31,0.15,0.35,Floor
16.61931,32,0.25,0.35,Floor
16.61931,33,0.35,0.35,Floor
16.61931,34,0.45,0.35,Floor
16.61931,35,0.55,0.35,Floor
16.61931,36,0.65,0.35,Floor
16.61931,37,0.75,0.35,Floor
16.61931,38,0.85,0.35,Floor
16.61931,39,0.95,0.35,Floor
16.61931,40,0.05,0.45,Floor
16.61931,41,0.15,0.45,Floor
16.61931,42,0.25,0.45,Floor
16.61931,43,0.35,0.45,Floor
16.61931,44,0.45,0.45,Floor
16.61931,45,0.55,0.45,Floor
16.61931,46,0.65,0.45,Floor
16.61931,47,0.75,0.45,Floor
16.61931,48,0.85,0.45,Floor
16.61931,49,0.95,0.45,Floor
16.61931,50,0.05,0.55,Cube81
16.61931,51,0.15,0.55,Cube21
16.61931,52,0.25,0.55,Cube20
16.61931,53,0.35,0.55,Cube51
16.61931,54,0.45,0.55,Wall1
16.61931,55,0.55,0.55,Cube15
16.61931,56,0.65,0.55,Wall1
16.61931,57,0.75,0.55,Cube86
16.61931,58,0.85,0.55,Cube86
16.61931,59,0.95,0.55,Wall2
16.61931,60,0.05,0.65,Wall1
16.61931,61,0.15,0.65,Cube21
16.61931,62,0.25,0.65,Cube20
16.61931,63,0.35,0.65,Wall1
16.61931,64,0.45,0.65,Wall1
16.61931,65,0.55,0.65,Cube15
16.61931,66,0.65,0.65,Wall1
16.61931,67,0.75,0.65,Cube86
16.61931,68,0.85,0.65,Cube86
16.61931,69,0.95,0.65,Wall2
16.61931,70,0.05,0.75,Wall1
16.61931,71,0.15,0.75,Wall1
16.61931,72,0.25,0.75,Wall1
16.61931,73,0.35,0.75,Wall1
16.61931,74,0.45,0.75,Wall1
16.61931,75,0.55,0.75,Wall1
16.61931,76,0.65,0.75,Wall1
16.61931,77,0.75,0.75,Wall1
16.61931,78,0.85,0.75,Wall2
16.61931,79,0.95,0.75,Wall2
16.61931,80,0.05,0.85,Wall1
16.61931,81,0.15,0.85,Wall1
16.61931,82,0.25,0.85,Wall1
16.61931,83,0.35,0.85,Wall1
16.61931,84,0.45,0.85,Wall1
16.61931,85,0.55,0.85,Wall1
16.61931,86,0.65,0.85,Wall1
16.61931,88,0.85,0.85,Wall2
16.61931,89,0.95,0.85,Wall2
16.62371,0,0.05,0.05,Floor
16.62371,1,0.15,0.05,Floor
16.62371,2,0.25,0.05,Floor
16.62371,3,0.35,0.05,Floor
16.62371,4,0.45,0.05,Floor
16.62371,5,0.55,0.05,Floor
16.62371,6,0.65,0.05,Floor
16.62371,7,0.75,0.05,Floor
16.62371,8,0.85,0.05,Floor
16.62371,9,0.95,0.05,Floor
16.62371,10,0.05,0.15,Floor
16.62371,11,0.15,0.15,Floor
16.62371,12,0.25,0.15,Floor
16.62371,13,0.35,0.15,Floor
16.62371,14,0.45,0.15,Floor
16.62371,15,0.55,0.15,Floor
16.62371,16,0.65,0.15,Floor
16.62371,17,0.75,0.15,Floor
16.62371,18,0.85,0.15,Floor
16.62371,19,0.95,0.15,Floor
16.62371,20,0.05,0.25,Floor
16.62371,21,0.15,0.25,Floor
16.62371,22,0.25,0.25,Floor
16.62371,23,0.35,0.25,Floor
16.62371,24,0.45,0.25,Floor
16.62371,25,0.55,0.25,Floor
16.62371,26,0.65,0.25,Floor
16.62371,27,0.75,0.25,Floor
16.62371,28,0.85,0.25,Floor
16.62371,29,0.95,0.25,Floor
16.62371,30,0.05,0.35,Floor
16.62371,31,0.15,0.35,Floor
16.62371,32,0.25,0.35,Floor
16.62371,33,0.35,0.35,Floor
16.62371,34,0.45,0.35,Floor
16.62371,35,0.55,0.35,Floor
16.62371,36,0.65,0.35,Floor
16.62371,37,0.75,0.35,Floor
16.62371,38,0.85,0.35,Floor
16.62371,39,0.95,0.35,Floor
16.62371,40,0.05,0.45,Floor
16.62371,41,0.15,0.45,Floor
16.62371,42,0.25,0.45,Floor
16.62371,43,0.35,0.45,Floor
16.62371,44,0.45,0.45,Floor
16.62371,45,0.55,0.45,Floor
16.62371,46,0.65,0.45,Floor
16.62371,47,0.75,0.45,Floor
16.62371,48,0.85,0.45,Floor
16.62371,49,0.95,0.45,Floor
16.62371,50,0.05,0.55,Cube81
16.62371,51,0.15,0.55,Cube21
16.62371,52,0.25,0.55,Cube20
16.62371,53,0.35,0.55,Cube51
16.62371,54,0.45,0.55,Wall1
16.62371,55,0.55,0.55,Cube15
16.62371,56,0.65,0.55,Wall1
16.62371,57,0.75,0.55,Cube86
16.62371,58,0.85,0.55,Cube4
16.62371,59,0.95,0.55,Wall2
16.62371,60,0.05,0.65,Wall1
16.62371,61,0.15,0.65,Cube21
16.62371,62,0.25,0.65,Cube20
16.62371,63,0.35,0.65,Wall1
16.62371,64,0.45,0.65,Wall1
16.62371,65,0.55,0.65,Cube15
16.62371,66,0.65,0.65,Wall1
16.62371,67,0.75,0.65,Cube86
16.62371,68,0.85,0.65,Cube86
16.62371,69,0.95,0.65,Wall2
16.62371,70,0.05,0.75,Wall1
16.62371,71,0.15,0.75,Wall1
16.62371,72,0.25,0.75,Wall1
16.62371,73,0.35,0.75,Wall1
16.62371,74,0.45,0.75,Wall1
16.62371,75,0.55,0.75,Wall1
16.62371,76,0.65,0.75,Wall1
16.62371,77,0.75,0.75,Wall1
16.62371,78,0.85,0.75,Wall2
16.62371,79,0.95,0.75,Wall2
16.62371,80,0.05,0.85,Wall1
16.62371,81,0.15,0.85,Wall1
16.62371,82,0.25,0.85,Wall1
16.62371,83,0.35,0.85,Wall1
