time,FPS
48.76101,356
48.78729,356
48.79124,356
48.79501,356
48.7987,356
48.8022,356
48.80602,356
48.81108,356
48.81478,356
48.81809,356
48.82178,356
48.82557,356
48.82959,356
48.8331,356
48.83677,356
48.84021,356
48.84423,356
48.84812,356
48.85181,356
48.8555,356
48.8593,356
48.86308,356
48.86698,356
48.87087,356
48.875,356
48.87897,356
48.88291,356
48.88957,320
48.89528,320
48.89938,320
48.90316,320
48.90742,320
48.91197,320
48.91564,320
48.91949,320
48.92317,320
48.92746,320
48.93171,320
48.93552,320
48.94007,320
48.94433,320
48.94835,320
48.95243,320
48.95624,320
48.96142,320
48.96647,320
48.97013,320
48.97386,320
48.97731,320
48.98135,320
48.98513,320
48.98872,320
48.99229,320
48.99594,320
48.99953,320
49.00379,320
49.0079,320
49.01184,320
49.01572,320
49.01942,320
49.02371,320
49.02792,320
49.03184,320
49.03557,320
49.03942,320
49.04336,320
49.04811,320
49.05191,320
49.05573,320
49.05967,320
49.06347,320
49.06805,320
49.07203,320
49.07609,320
49.08009,320
49.08535,320
49.08932,320
49.09337,320
49.09728,320
49.10126,320
49.10592,320
49.10993,320
49.11398,320
49.11822,320
49.12231,320
49.1271,320
49.13131,320
49.13551,320
49.13934,320
49.14324,320
49.14806,320
49.1522,320
49.15632,320
49.16114,320
49.166,320
49.17013,320
49.17437,320
49.17837,320
49.18246,320
49.18724,320
49.19151,320
49.19626,320
49.20031,320
49.20541,320
49.20955,320
49.21391,320
49.21802,320
49.22203,320
49.22661,320
49.23058,320
49.23429,320
49.23848,320
49.24227,320
49.24616,320
49.25002,320
49.25346,320
49.25686,320
49.26038,320
49.26413,320
49.2676,320
49.27104,320
49.27447,320
49.27784,320
49.2813,320
49.2851,320
49.28851,320
49.29204,320
49.29565,320
49.29908,320
49.30254,320
49.30668,320
49.31047,320
49.31422,320
49.31789,320
49.32169,320
49.32608,320
49.32982,320
49.33398,320
49.33813,320
49.34206,320
49.34612,320
49.34996,320
49.35327,320
49.35732,320
49.36102,320
49.36525,320
49.36903,320
49.37381,320
49.37798,320
49.38213,320
49.38683,320
49.39063,248
49.39451,248
49.3985,248
49.40259,248
49.40689,248
49.41105,248
