time,rayIndex,x,y,objectDetected
4.260736,0,0.05,0.05,Floor
4.260736,1,0.15,0.05,Floor
4.260736,2,0.25,0.05,Floor
4.260736,3,0.35,0.05,Floor
4.260736,4,0.45,0.05,Floor
4.260736,5,0.55,0.05,trialStarter
4.260736,6,0.65,0.05,trialStarter
4.260736,7,0.75,0.05,trialStarter
4.260736,8,0.85,0.05,trialStarter
4.260736,9,0.95,0.05,Floor
4.260736,10,0.05,0.15,Floor
4.260736,11,0.15,0.15,Floor
4.260736,12,0.25,0.15,Floor
4.260736,13,0.35,0.15,Floor
4.260736,14,0.45,0.15,Floor
4.260736,15,0.55,0.15,Floor
4.260736,16,0.65,0.15,trialStarter
4.260736,17,0.75,0.15,trialStarter
4.260736,18,0.85,0.15,Floor
4.260736,19,0.95,0.15,Floor
4.260736,20,0.05,0.25,Floor
4.260736,21,0.15,0.25,Floor
4.260736,22,0.25,0.25,Floor
4.260736,23,0.35,0.25,Floor
4.260736,24,0.45,0.25,Floor
4.260736,25,0.55,0.25,Floor
4.260736,26,0.65,0.25,Floor
4.260736,27,0.75,0.25,Floor
4.260736,28,0.85,0.25,Floor
4.260736,29,0.95,0.25,Floor
4.260736,30,0.05,0.35,Floor
4.260736,31,0.15,0.35,Floor
4.260736,32,0.25,0.35,Floor
4.260736,33,0.35,0.35,Floor
4.260736,34,0.45,0.35,Floor
4.260736,35,0.55,0.35,Floor
4.260736,36,0.65,0.35,Floor
4.260736,37,0.75,0.35,Floor
4.260736,38,0.85,0.35,Floor
4.260736,39,0.95,0.35,Floor
4.260736,40,0.05,0.45,Wall4
4.260736,41,0.15,0.45,Wall4
4.260736,42,0.25,0.45,Wall1
4.260736,43,0.35,0.45,Wall1
4.260736,44,0.45,0.45,Wall1
4.260736,45,0.55,0.45,Wall1
4.260736,46,0.65,0.45,Wall1
4.260736,47,0.75,0.45,Wall1
4.260736,48,0.85,0.45,Wall1
4.260736,49,0.95,0.45,Wall1
4.260736,50,0.05,0.55,Wall4
4.260736,51,0.15,0.55,Wall4
4.260736,52,0.25,0.55,Wall1
4.260736,53,0.35,0.55,Wall1
4.260736,54,0.45,0.55,Wall1
4.260736,55,0.55,0.55,Wall1
4.260736,56,0.65,0.55,Wall1
4.260736,57,0.75,0.55,Wall1
4.260736,58,0.85,0.55,Wall1
4.260736,59,0.95,0.55,Wall1
4.260736,60,0.05,0.65,Wall4
4.260736,61,0.15,0.65,Wall4
4.260736,62,0.25,0.65,Wall1
4.260736,63,0.35,0.65,Wall1
4.260736,64,0.45,0.65,Wall1
4.260736,65,0.55,0.65,Wall1
4.260736,66,0.65,0.65,Wall1
4.260736,67,0.75,0.65,Wall1
4.260736,68,0.85,0.65,Wall1
4.260736,69,0.95,0.65,Wall1
4.260736,70,0.05,0.75,Wall4
4.260736,71,0.15,0.75,Wall4
4.260736,75,0.55,0.75,Wall1
4.260736,76,0.65,0.75,Wall1
4.260736,77,0.75,0.75,Wall1
4.260736,78,0.85,0.75,Wall1
4.260736,79,0.95,0.75,Wall1
4.306479,0,0.05,0.05,Floor
4.306479,1,0.15,0.05,Floor
4.306479,2,0.25,0.05,Floor
4.306479,3,0.35,0.05,Floor
4.306479,4,0.45,0.05,Floor
4.306479,5,0.55,0.05,trialStarter
4.306479,6,0.65,0.05,trialStarter
4.306479,7,0.75,0.05,trialStarter
4.306479,8,0.85,0.05,trialStarter
4.306479,9,0.95,0.05,Floor
4.306479,10,0.05,0.15,Floor
4.306479,11,0.15,0.15,Floor
4.306479,12,0.25,0.15,Floor
4.306479,13,0.35,0.15,Floor
4.306479,14,0.45,0.15,Floor
4.306479,15,0.55,0.15,Floor
4.306479,16,0.65,0.15,trialStarter
4.306479,17,0.75,0.15,Floor
4.306479,18,0.85,0.15,Floor
4.306479,19,0.95,0.15,Floor
4.306479,20,0.05,0.25,Floor
4.306479,21,0.15,0.25,Floor
4.306479,22,0.25,0.25,Floor
4.306479,23,0.35,0.25,Floor
4.306479,24,0.45,0.25,Floor
4.306479,25,0.55,0.25,Floor
4.306479,26,0.65,0.25,Floor
4.306479,27,0.75,0.25,Floor
4.306479,28,0.85,0.25,Floor
4.306479,29,0.95,0.25,Floor
4.306479,30,0.05,0.35,Floor
4.306479,31,0.15,0.35,Floor
4.306479,32,0.25,0.35,Floor
4.306479,33,0.35,0.35,Floor
4.306479,34,0.45,0.35,Floor
4.306479,35,0.55,0.35,Floor
4.306479,36,0.65,0.35,Floor
4.306479,37,0.75,0.35,Floor
4.306479,38,0.85,0.35,Floor
4.306479,39,0.95,0.35,Floor
4.306479,40,0.05,0.45,Cube63
4.306479,41,0.15,0.45,Wall4
4.306479,42,0.25,0.45,Wall1
4.306479,43,0.35,0.45,Cube32
4.306479,44,0.45,0.45,Wall1
4.306479,45,0.55,0.45,Wall1
4.306479,46,0.65,0.45,Cube83
4.306479,47,0.75,0.45,Cube96
4.306479,48,0.85,0.45,Cube67
4.306479,49,0.95,0.45,Cube52
4.306479,50,0.05,0.55,Wall4
4.306479,51,0.15,0.55,Wall4
4.306479,52,0.25,0.55,Wall1
4.306479,53,0.35,0.55,Wall1
4.306479,54,0.45,0.55,Wall1
4.306479,55,0.55,0.55,Wall1
4.306479,56,0.65,0.55,Wall1
4.306479,57,0.75,0.55,Wall1
4.306479,58,0.85,0.55,Cube67
4.306479,59,0.95,0.55,Cube52
4.306479,60,0.05,0.65,Wall4
4.306479,61,0.15,0.65,Wall4
4.306479,62,0.25,0.65,Wall1
4.306479,63,0.35,0.65,Wall1
4.306479,64,0.45,0.65,Wall1
4.306479,65,0.55,0.65,Wall1
4.306479,66,0.65,0.65,Wall1
4.306479,67,0.75,0.65,Wall1
4.306479,68,0.85,0.65,Wall1
4.306479,69,0.95,0.65,Wall1
4.306479,70,0.05,0.75,Wall4
4.306479,71,0.15,0.75,Wall4
4.306479,75,0.55,0.75,Wall1
4.306479,76,0.65,0.75,Wall1
4.306479,77,0.75,0.75,Wall1
4.306479,78,0.85,0.75,Wall1
4.306479,79,0.95,0.75,Wall1
4.311577,0,0.05,0.05,Floor
4.311577,1,0.15,0.05,Floor
4.311577,2,0.25,0.05,Floor
4.311577,3,0.35,0.05,Floor
4.311577,4,0.45,0.05,Floor
4.311577,5,0.55,0.05,trialStarter
4.311577,6,0.65,0.05,trialStarter
4.311577,7,0.75,0.05,trialStarter
4.311577,8,0.85,0.05,trialStarter
4.311577,9,0.95,0.05,Floor
4.311577,10,0.05,0.15,Floor
4.311577,11,0.15,0.15,Floor
4.311577,12,0.25,0.15,Floor
4.311577,13,0.35,0.15,Floor
4.311577,14,0.45,0.15,Floor
4.311577,15,0.55,0.15,Floor
4.311577,16,0.65,0.15,trialStarter
4.311577,17,0.75,0.15,Floor
4.311577,18,0.85,0.15,Floor
4.311577,19,0.95,0.15,Floor
4.311577,20,0.05,0.25,Floor
4.311577,21,0.15,0.25,Floor
4.311577,22,0.25,0.25,Floor
4.311577,23,0.35,0.25,Floor
4.311577,24,0.45,0.25,Floor
4.311577,25,0.55,0.25,Floor
4.311577,26,0.65,0.25,Floor
4.311577,27,0.75,0.25,Floor
4.311577,28,0.85,0.25,Floor
4.311577,29,0.95,0.25,Floor
4.311577,30,0.05,0.35,Floor
4.311577,31,0.15,0.35,Floor
4.311577,32,0.25,0.35,Floor
4.311577,33,0.35,0.35,Floor
4.311577,34,0.45,0.35,Floor
4.311577,35,0.55,0.35,Floor
4.311577,36,0.65,0.35,Floor
4.311577,37,0.75,0.35,Floor
4.311577,38,0.85,0.35,Floor
4.311577,39,0.95,0.35,Floor
4.311577,40,0.05,0.45,Cube63
4.311577,41,0.15,0.45,Wall4
4.311577,42,0.25,0.45,Wall1
4.311577,43,0.35,0.45,Cube32
4.311577,44,0.45,0.45,Wall1
4.311577,45,0.55,0.45,Wall1
4.311577,46,0.65,0.45,Cube83
4.311577,47,0.75,0.45,Cube96
4.311577,48,0.85,0.45,Cube67
4.311577,49,0.95,0.45,Cube52
4.311577,50,0.05,0.55,Wall4
4.311577,51,0.15,0.55,Wall4
4.311577,52,0.25,0.55,Wall1
4.311577,53,0.35,0.55,Wall1
4.311577,54,0.45,0.55,Wall1
4.311577,55,0.55,0.55,Wall1
4.311577,56,0.65,0.55,Wall1
4.311577,57,0.75,0.55,Wall1
4.311577,58,0.85,0.55,Cube67
4.311577,59,0.95,0.55,Cube52
4.311577,60,0.05,0.65,Wall4
4.311577,61,0.15,0.65,Wall4
4.311577,62,0.25,0.65,Wall1
4.311577,63,0.35,0.65,Wall1
4.311577,64,0.45,0.65,Wall1
4.311577,65,0.55,0.65,Wall1
4.311577,66,0.65,0.65,Wall1
4.311577,67,0.75,0.65,Wall1
4.311577,68,0.85,0.65,Wall1
4.311577,69,0.95,0.65,Wall1
4.311577,70,0.05,0.75,Wall4
4.311577,71,0.15,0.75,Wall4
4.311577,75,0.55,0.75,Wall1
4.311577,76,0.65,0.75,Wall1
4.311577,77,0.75,0.75,Wall1
4.311577,78,0.85,0.75,Wall1
4.311577,79,0.95,0.75,Wall1
4.3167,0,0.05,0.05,Floor
4.3167,1,0.15,0.05,Floor
4.3167,2,0.25,0.05,Floor
4.3167,3,0.35,0.05,Floor
4.3167,4,0.45,0.05,Floor
4.3167,5,0.55,0.05,trialStarter
4.3167,6,0.65,0.05,trialStarter
4.3167,7,0.75,0.05,trialStarter
4.3167,8,0.85,0.05,trialStarter
4.3167,9,0.95,0.05,Floor
4.3167,10,0.05,0.15,Floor
4.3167,11,0.15,0.15,Floor
4.3167,12,0.25,0.15,Floor
4.3167,13,0.35,0.15,Floor
4.3167,14,0.45,0.15,Floor
4.3167,15,0.55,0.15,Floor
4.3167,16,0.65,0.15,trialStarter
4.3167,17,0.75,0.15,Floor
