time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
4.801999,-0.977094,0,0.715823,0,111.2338,0
4.836678,-0.792976,0,0.643958,0,110.9446,0
4.851839,-0.60839,0,0.573307,0,110.6482,0
4.858357,-0.60839,0,0.573307,0,110.4827,0
4.862832,-0.42324,0,0.504146,0,110.3609,0
4.866993,-0.42324,0,0.504146,0,110.3203,0
4.871881,-0.42324,0,0.504146,0,110.2401,0
4.875905,-0.42324,0,0.504146,0,110.2134,0
4.880345,-0.237767,0,0.435855,0,110.2045,0
4.885864,-0.237767,0,0.435855,0,110.1348,0
4.889869,-0.237767,0,0.435855,0,110.1116,0
4.89432,-0.237767,0,0.435855,0,110.1039,0
4.898395,-0.237767,0,0.435855,0,110.1013,0
4.903312,-0.052161,0,0.367928,0,110.0338,0
4.910681,-0.052161,0,0.367928,0,110.0113,0
4.924865,0.133552,0,0.300293,0,109.9371,0
4.930005,0.133552,0,0.300293,0,109.8457,0
4.934244,0.133552,0,0.300293,0,109.8153,0
4.938743,0.133552,0,0.300293,0,109.7384,0
4.94316,0.319585,0,0.233543,0,109.7128,0
4.947844,0.319585,0,0.233543,0,109.7043,0
4.952414,0.319585,0,0.233543,0,109.7015,0
4.957609,0.319585,0,0.233543,0,109.6338,0
4.964555,0.505739,0,0.167132,0,109.6113,0
4.969102,0.505739,0,0.167132,0,109.6038,0
4.9729,0.505739,0,0.167132,0,109.6013,0
4.977637,0.505739,0,0.167132,0,109.5338,0
4.981522,0.692009,0,0.101047,0,109.5113,0
4.986453,0.692009,0,0.101047,0,109.5038,0
4.990316,0.692009,0,0.101047,0,109.5013,0
5.003598,0.878317,0,0.035068,0,109.5005,0
5.008343,0.878317,0,0.035068,0,109.5002,0
5.01233,0.878317,0,0.035068,0,109.5001,0
5.016688,0.878317,0,0.035068,0,109.5001,0
5.020951,1.064625,0,-0.030908,0,109.5,0
5.025691,1.064625,0,-0.030908,0,109.5,0
5.030235,1.064625,0,-0.030908,0,109.5,0
5.034401,1.064625,0,-0.030908,0,109.5,0
5.038356,1.064625,0,-0.030908,0,109.5,0
5.04219,1.250934,0,-0.096884,0,109.5,0
5.047456,1.250934,0,-0.096884,0,109.5,0
5.054698,1.250934,0,-0.096884,0,109.5,0
5.062204,1.437243,0,-0.162859,0,109.5,0
5.066515,1.437243,0,-0.162859,0,109.5,0
5.070302,1.437243,0,-0.162859,0,109.5,0
5.074718,1.437243,0,-0.162859,0,109.5,0
5.078715,1.437243,0,-0.162859,0,109.5,0
5.082839,1.623552,0,-0.228835,0,109.5,0
5.087303,1.623552,0,-0.228835,0,109.5,0
5.091134,1.623552,0,-0.228835,0,109.5,0
5.095588,1.623552,0,-0.228835,0,109.5,0
5.099507,1.623552,0,-0.228835,0,109.5,0
5.104023,1.809861,0,-0.29481,0,109.5,0
5.109138,1.809861,0,-0.29481,0,109.5,0
5.113486,1.809861,0,-0.29481,0,109.5,0
5.117931,1.809861,0,-0.29481,0,109.5,0
5.122501,1.99617,0,-0.360786,0,109.5,0
5.127505,1.99617,0,-0.360786,0,109.5,0
5.132973,1.99617,0,-0.360786,0,109.5,0
