time,FPS
4.801999,266
4.836678,266
4.851839,292
4.858357,292
4.862832,292
4.866993,292
4.871881,292
4.875905,292
4.880345,292
4.885864,292
4.889869,292
4.89432,292
4.898395,292
4.903312,292
4.910681,292
4.924865,292
4.930005,292
4.934244,292
4.938743,292
4.94316,292
4.947844,292
4.952414,292
4.957609,292
4.964555,292
4.969102,292
4.9729,292
4.977637,292
4.981522,292
4.986453,292
4.990316,292
5.003598,292
5.008343,292
5.01233,292
5.016688,292
5.020951,292
5.025691,292
5.030235,292
5.034401,292
5.038356,292
5.04219,292
5.047456,292
5.054698,292
5.062204,292
5.066515,292
5.070302,292
5.074718,292
5.078715,292
5.082839,292
5.087303,292
5.091134,292
5.095588,292
5.099507,292
5.104023,292
5.109138,292
5.113486,292
5.117931,292
5.122501,292
5.127505,292
5.132973,292
5.140713,292
5.154338,292
5.159646,292
5.164456,292
5.169237,292
5.174263,292
5.179043,292
5.183397,292
5.188861,292
5.198107,292
5.207567,292
5.217217,292
5.2223,292
5.227638,292
5.231972,292
5.236839,292
5.24207,292
5.248138,292
5.252923,292
5.257833,292
5.263871,292
5.269627,292
5.275653,292
5.279918,292
5.285063,292
5.291249,292
5.304796,292
5.311009,292
5.315905,292
5.320201,292
5.325539,292
5.330826,292
5.334756,292
5.338997,292
5.343213,182
5.351376,182
5.356701,182
5.366899,182
5.372567,182
5.376744,182
5.381589,182
5.386655,182
5.391,182
5.395761,182
5.400779,182
5.405241,182
5.409807,182
5.4141,182
5.418083,182
5.422326,182
5.427094,182
5.431199,182
5.435434,182
5.438994,182
5.44316,182
5.458852,182
5.465772,182
5.470125,182
5.47389,182
5.477833,182
5.481308,182
5.485561,182
5.48917,182
5.493021,182
5.49695,182
5.50059,182
5.50513,182
5.508853,182
5.512894,182
5.516727,182
5.520519,182
5.525537,182
5.529162,182
5.533327,182
5.53733,182
5.541233,182
5.545812,182
5.549372,182
5.55404,182
5.557747,182
5.561608,182
5.566142,182
5.56987,182
5.57711,182
5.585835,182
5.590338,182
5.594359,182
5.605145,182
5.6092,182
5.612654,182
5.616558,182
5.620217,182
5.624373,182
5.628026,182
5.631478,182
5.635358,182
5.638876,182
5.642613,182
5.646713,182
5.650814,182
5.654252,182
5.65793,182
5.661453,182
5.666964,182
5.671164,182
5.674758,182
5.678584,182
5.682419,182
5.686799,182
5.690426,182
5.694162,182
5.698127,182
5.705706,182
5.713858,182
5.717313,182
5.720868,182
5.725253,182
5.728838,182
5.732734,182
5.736523,182
5.740693,182
5.744719,182
5.748539,182
5.752092,182
5.756196,182
5.760451,182
5.764604,182
5.768459,182
5.772388,182
5.776241,182
5.779799,182
5.783472,182
5.788452,182
5.792153,182
5.797078,182
5.801117,182
5.805507,182
5.809383,182
5.812918,182
5.816793,182
5.821454,182
5.830862,182
5.835185,182
5.838886,182
5.84313,220
5.848126,220
5.852707,220
5.858055,220
5.86149,220
5.865675,220
5.869272,220
5.87306,220
5.876564,220
5.880567,220
5.884852,220
5.88843,220
5.892098,220
5.895723,220
5.909811,220
5.919222,220
5.922876,220
5.927571,220
5.931665,220
5.935719,220
5.93917,220
5.943682,220
5.947948,220
5.951929,220
5.956158,220
5.960371,220
5.965008,220
5.969542,220
5.973983,220
5.978933,220
5.983882,220
5.988988,220
5.993126,220
5.99767,220
6.001194,220
6.005717,220
6.00931,220
6.012996,220
6.017078,220
6.021064,220
6.025788,220
6.029291,220
6.033239,220
6.037535,220
6.04098,220
6.045294,220
6.048811,220
6.064363,220
6.073556,220
6.080843,220
6.089923,220
6.094177,220
6.097591,220
6.102139,220
6.106287,220
6.11018,220
6.114056,220
6.11788,220
6.121958,220
6.126028,220
6.130021,220
6.134031,220
6.137711,220
6.141231,220
6.145613,220
6.149953,220
6.153505,220
6.157681,220
6.162368,220
6.168629,220
6.17265,220
6.176422,220
6.180208,220
6.18449,220
6.187962,220
6.191893,220
6.1956,220
6.19937,220
6.213033,220
6.221572,220
6.22577,220
6.22935,220
6.233212,220
6.2367,220
6.240774,220
6.244833,220
6.248659,220
6.252155,220
6.255874,220
6.259822,220
6.2634,220
6.267572,220
6.271043,220
6.275187,220
6.278623,220
6.282516,220
6.286538,220
6.290395,220
6.294205,220
6.298321,220
6.303819,220
6.308015,220
6.311547,220
6.315301,220
6.318799,220
6.322812,220
6.32725,220
6.331808,220
6.339965,216
6.348661,216
6.354685,216
6.366876,216
6.371935,216
6.376493,216
6.380919,216
6.386732,216
6.390513,216
6.394981,216
6.398655,216
6.402827,216
6.407042,216
6.41042,216
6.414561,216
6.418386,216
6.422191,216
6.426828,216
6.430736,216
6.435184,216
6.439101,216
6.443425,216
6.448289,216
6.452723,216
6.457716,216
6.46227,216
6.467828,216
6.472606,216
6.477251,216
6.481971,216
6.49087,216
6.499992,216
6.505074,216
6.517864,216
6.522116,216
6.527747,216
6.533107,216
6.537908,216
6.542264,216
6.548014,216
6.552965,216
6.557623,216
6.56228,216
6.567804,216
6.572149,216
6.577624,216
6.582265,216
6.5877,216
6.591735,216
6.596632,216
6.601236,216
6.605976,216
6.610715,216
6.615287,216
6.619817,216
6.625564,216
6.630785,216
6.635653,216
6.640643,216
6.645985,216
6.651997,216
6.657704,216
6.67486,216
6.685004,216
6.689322,216
6.693744,216
6.697472,216
6.701319,216
6.712584,216
6.71666,216
6.720767,216
6.725532,216
6.729059,216
6.733359,216
6.736814,216
6.740714,216
6.744691,216
6.749104,216
6.752894,216
6.756439,216
6.760311,216
6.764579,216
6.768385,216
6.771906,216
6.776114,216
6.780116,216
6.785066,216
6.789477,216
6.794376,216
6.799026,216
6.804078,216
6.809297,216
6.82209,216
6.827544,216
6.835273,216
6.846074,190
6.851105,190
6.855276,190
6.860035,190
6.865194,190
6.869647,190
6.874905,190
6.879716,190
6.887507,190
6.898339,190
6.902314,190
6.907806,190
6.911932,190
6.916039,190
6.920886,190
6.925361,190
6.929175,190
6.933084,190
6.937521,190
6.949445,190
6.954662,190
6.958827,190
6.964036,190
6.975797,190
6.987236,190
6.991764,190
6.995871,190
7.006702,190
7.010786,190
7.01462,190
7.018163,190
7.021487,190
7.025337,190
7.029055,190
7.032428,190
7.035865,190
7.03971,190
7.043194,190
7.047653,190
7.051804,190
7.055817,190
7.060631,190
7.065398,190
7.069608,190
7.073576,190
7.077773,190
7.08197,190
7.086845,190
7.09068,190
7.095113,190
7.098994,190
7.1036,190
7.115632,190
7.126454,190
7.135105,190
7.143255,190
7.150222,190
7.159638,190
7.16345,190
7.168757,190
7.181147,190
7.186456,190
7.190553,190
7.194897,190
7.198363,190
7.202628,190
7.207026,190
7.210335,190
7.213737,190
7.217137,190
7.221324,190
7.225187,190
7.228561,190
7.232084,190
7.236046,190
7.239642,190
7.243492,190
7.247789,190
7.251338,190
7.255358,190
7.258741,190
7.262194,190
7.26704,190
7.277934,190
7.282094,190
7.286343,190
7.28972,190
7.293692,190
7.298056,190
7.302464,190
7.306999,190
7.310892,190
7.315589,190
7.319337,190
7.323633,190
7.335364,190
7.339735,190
7.343795,194
7.347974,194
7.352053,194
7.355503,194
7.359847,194
7.363833,194
7.371795,194
7.382081,194
7.386241,194
7.390147,194
7.394512,194
7.397859,194
7.401805,194
7.406276,194
7.409843,194
7.41359,194
7.416899,194
7.420571,194
7.432683,194
7.43644,194
7.440252,194
7.444242,194
7.44788,194
7.451174,194
7.455576,194
7.458945,194
7.462613,194
7.466336,194
7.470752,194
7.474962,194
7.478228,194
7.481786,194
7.487045,194
7.490624,194
7.494524,194
7.497892,194
7.501188,194
7.506541,194
7.519154,194
7.522549,194
7.527377,194
7.531825,194
7.536453,194
7.540001,194
7.54482,194
7.548316,194
7.552869,194
7.556277,194
7.560876,194
7.565613,194
7.569271,194
7.57357,194
7.585558,194
7.589835,194
7.593918,194
7.601221,194
7.61151,194
7.61572,194
7.618994,194
7.659105,194
7.677136,194
7.685194,194
7.689202,194
7.693517,194
7.697474,194
7.700862,194
7.705559,194
7.708954,194
7.713299,194
7.719961,194
7.727627,194
7.734445,194
7.74076,194
7.744458,194
7.748468,194
7.751826,194
7.756086,194
7.759704,194
7.763225,194
7.767406,194
7.77096,194
7.775705,194
7.779903,194
7.78906,194
7.797183,194
7.802085,194
7.806769,194
7.815282,194
7.823969,194
7.82913,194
7.837633,194
7.842134,182
7.847699,182
7.852284,182
7.856845,182
7.861644,182
7.866811,182
7.871048,182
7.880109,182
7.889038,182
