time,FPS
2.901725,286
2.938295,286
2.943346,286
2.951837,286
2.957117,286
2.961962,286
2.967152,286
2.971828,286
2.976773,286
2.982599,286
2.987277,286
2.995067,286
3.00492,286
3.020904,286
3.027589,286
3.03197,286
3.036182,286
3.040541,286
3.046012,286
3.049907,286
3.054024,286
3.058405,286
3.063238,286
3.068724,286
3.072514,286
3.076572,286
3.080933,286
3.084819,286
3.089031,286
3.093129,286
3.09673,286
3.100954,286
3.104844,286
3.109539,286
3.113326,286
3.119133,286
3.125306,286
3.132589,286
3.140364,286
3.144392,286
3.147944,286
3.151606,286
3.15591,286
3.166556,286
3.17173,286
3.175181,286
3.179288,286
3.182891,286
3.187795,286
3.192231,286
3.196594,286
3.200919,286
3.205568,286
3.209717,286
3.213679,286
3.217582,286
3.222015,286
3.226926,286
3.231423,286
3.235945,286
3.240774,286
3.245177,286
3.249851,286
3.254643,286
3.259061,286
3.276126,286
3.282024,286
3.286833,286
3.291546,286
3.297244,286
3.301994,286
3.306928,286
3.319492,286
3.323999,286
3.329159,286
3.33357,286
3.339057,286
3.344447,286
3.349931,286
3.354199,286
3.359246,186
3.363999,186
3.369072,186
3.374143,186
3.379009,186
3.383379,186
3.389053,186
3.39407,186
3.399013,186
3.403284,186
3.409107,186
3.414009,186
3.418179,186
3.423163,186
3.428115,186
3.43241,186
3.437231,186
3.446128,186
3.450969,186
3.455515,186
3.45992,186
3.472388,186
3.477044,186
3.481849,186
3.486928,186
3.491878,186
3.496192,186
3.50103,186
3.505891,186
3.510603,186
3.514436,186
3.518814,186
3.522245,186
3.526408,186
3.530234,186
3.533802,186
3.537832,186
3.541445,186
3.545434,186
3.549207,186
3.55284,186
3.556343,186
3.560142,186
3.564287,186
3.567885,186
3.574521,186
3.58204,186
3.586182,186
3.589764,186
3.593534,186
3.597789,186
3.601445,186
3.605313,186
3.60894,186
3.613079,186
3.623966,186
3.628809,186
3.632198,186
3.635936,186
3.63945,186
3.643263,186
3.647178,186
3.650727,186
3.654151,186
3.657985,186
3.661614,186
3.66565,186
3.669343,186
3.672784,186
3.676637,186
3.680205,186
3.684396,186
3.687981,186
3.692255,186
3.695925,186
3.699902,186
3.703703,186
3.708342,186
3.712138,186
3.715655,186
3.719605,186
3.723344,186
3.727365,186
3.731028,186
3.739142,186
3.746768,186
3.750642,186
3.754541,186
3.757947,186
3.761443,186
3.765352,186
3.769263,186
3.772935,186
3.776536,186
3.780463,186
3.784446,186
3.788462,186
3.791833,186
3.795578,186
3.799076,186
3.803171,186
3.807125,186
3.810972,186
3.814546,186
3.818424,186
3.822464,186
3.826329,186
3.830722,186
3.835309,186
3.839516,186
3.843995,186
3.849238,186
3.853935,186
3.858128,186
3.862128,228
3.867046,228
3.871155,228
3.875099,228
3.880563,228
3.885342,228
3.889753,228
3.894228,228
3.899189,228
3.90381,228
3.913098,228
3.926261,228
3.938162,228
3.942777,228
3.948111,228
3.952275,228
3.957868,228
3.962199,228
3.966902,228
3.970998,228
3.97575,228
3.980024,228
3.984643,228
3.989753,228
3.993821,228
3.998047,228
4.002819,228
4.007957,228
4.012207,228
4.016461,228
4.021183,228
4.025885,228
4.030357,228
4.034266,228
4.039166,228
4.043142,228
4.048011,228
4.052985,228
4.057084,228
4.061775,228
4.06687,228
4.07191,228
4.075997,228
4.081048,228
4.094777,228
4.099115,228
4.106582,228
4.116402,228
4.120557,228
4.12505,228
4.129916,228
4.135086,228
4.13966,228
4.145034,228
4.150889,228
4.15519,228
4.160002,228
4.165878,228
4.171148,228
4.175928,228
4.181055,228
4.186342,228
4.1924,228
4.197925,228
4.202177,228
4.20712,228
4.212353,228
4.220201,228
4.229916,228
4.234269,228
4.248076,228
4.253389,228
4.258046,228
4.263047,228
4.268205,228
4.272617,228
4.277543,228
4.282163,228
4.287259,228
4.291967,228
4.296835,228
4.301426,228
4.306502,228
4.310972,228
4.315223,228
4.318895,228
4.322855,228
4.326915,228
4.330952,228
4.334426,228
4.338539,228
4.342218,228
4.346138,228
4.350229,228
4.354248,228
4.358109,228
4.361619,192
4.365701,192
4.36959,192
4.373436,192
4.376995,192
4.380636,192
4.385208,192
4.395441,192
4.399635,192
4.403452,192
4.408262,192
4.411944,192
4.416344,192
4.420339,192
4.424794,192
4.431511,192
4.440845,192
4.44451,192
4.448709,192
4.452065,192
4.455865,192
4.459301,192
4.464062,192
4.468907,192
4.47318,192
4.47848,192
4.483208,192
4.489027,192
4.493984,192
4.498862,192
4.503311,192
4.509477,192
4.513927,192
4.518411,192
4.522264,192
4.527299,192
4.53196,192
4.53616,192
4.549141,192
4.554017,192
4.559181,192
4.563186,192
4.568808,192
4.573823,192
4.578088,192
4.58287,192
4.58801,192
4.592239,192
4.597023,192
4.602015,192
4.606333,192
4.610876,192
4.615514,192
4.621139,192
4.626038,192
4.630613,192
4.635293,192
4.643052,192
4.653084,192
4.657929,192
4.662297,192
4.667306,192
4.672276,192
4.677277,192
4.682098,192
4.687143,192
4.702078,192
4.707108,192
4.712005,192
4.716704,192
4.721504,192
4.727062,192
4.73263,192
4.736988,192
4.742089,192
4.747904,192
4.752389,192
4.756691,192
4.761968,192
4.767084,192
4.77188,192
4.77688,192
4.782026,192
4.786849,192
4.792368,192
4.797532,192
4.802262,192
4.809428,192
4.813743,192
4.818861,192
4.826828,192
4.836392,192
4.841206,192
4.854479,192
4.859279,188
4.864155,188
4.868915,188
4.873969,188
4.878988,188
4.883136,188
4.888864,188
4.893988,188
4.898617,188
4.904052,188
4.909091,188
4.914107,188
4.919232,188
4.923425,188
4.928164,188
4.932586,188
4.937006,188
4.942059,188
4.947311,188
4.952053,188
4.956926,188
4.961743,188
4.96693,188
4.972251,188
4.977532,188
4.983281,188
4.9882,188
4.992789,188
5.007504,188
5.017001,188
5.020563,188
5.026137,188
5.032316,188
5.036467,188
5.040876,188
5.045612,188
5.049347,188
5.053269,188
5.056908,188
5.061747,188
5.066252,188
5.07041,188
5.074303,188
5.078049,188
5.082329,188
5.087239,188
5.09089,188
5.095572,188
5.099421,188
5.103095,188
5.107449,188
