time,rayIndex,x,y,objectDetected
2.901725,0,0.05,0.05,Floor
2.901725,1,0.15,0.05,Floor
2.901725,2,0.25,0.05,Floor
2.901725,3,0.35,0.05,Floor
2.901725,4,0.45,0.05,Floor
2.901725,5,0.55,0.05,Floor
2.901725,6,0.65,0.05,Floor
2.901725,7,0.75,0.05,Floor
2.901725,8,0.85,0.05,Floor
2.901725,9,0.95,0.05,Floor
2.901725,10,0.05,0.15,Floor
2.901725,11,0.15,0.15,Floor
2.901725,12,0.25,0.15,Floor
2.901725,13,0.35,0.15,Floor
2.901725,14,0.45,0.15,Floor
2.901725,15,0.55,0.15,Floor
2.901725,16,0.65,0.15,Floor
2.901725,17,0.75,0.15,Floor
2.901725,18,0.85,0.15,Floor
2.901725,19,0.95,0.15,Floor
2.901725,20,0.05,0.25,Floor
2.901725,21,0.15,0.25,Floor
2.901725,22,0.25,0.25,Floor
2.901725,23,0.35,0.25,Floor
2.901725,24,0.45,0.25,Floor
2.901725,25,0.55,0.25,Floor
2.901725,26,0.65,0.25,Floor
2.901725,27,0.75,0.25,Floor
2.901725,28,0.85,0.25,Floor
2.901725,29,0.95,0.25,Floor
2.901725,30,0.05,0.35,Wall4
2.901725,31,0.15,0.35,Wall4
2.901725,32,0.25,0.35,Wall1
2.901725,33,0.35,0.35,Wall1
2.901725,34,0.45,0.35,Wall1
2.901725,35,0.55,0.35,Wall1
2.901725,36,0.65,0.35,Wall1
2.901725,37,0.75,0.35,Wall1
2.901725,38,0.85,0.35,Wall1
2.901725,39,0.95,0.35,Wall2
2.901725,40,0.05,0.45,Wall4
2.901725,41,0.15,0.45,Wall4
2.901725,42,0.25,0.45,Wall1
2.901725,43,0.35,0.45,Wall1
2.901725,44,0.45,0.45,Wall1
2.901725,45,0.55,0.45,Wall1
2.901725,46,0.65,0.45,Wall1
2.901725,47,0.75,0.45,Wall1
2.901725,48,0.85,0.45,Wall1
2.901725,49,0.95,0.45,Wall2
2.901725,50,0.05,0.55,Wall4
2.901725,51,0.15,0.55,Wall4
2.901725,52,0.25,0.55,Wall1
2.901725,53,0.35,0.55,Wall1
2.901725,54,0.45,0.55,Wall1
2.901725,55,0.55,0.55,Wall1
2.901725,56,0.65,0.55,Wall1
2.901725,57,0.75,0.55,Wall1
2.901725,58,0.85,0.55,Wall1
2.901725,59,0.95,0.55,Wall2
2.901725,60,0.05,0.65,Wall4
2.901725,61,0.15,0.65,Wall4
2.901725,64,0.45,0.65,Wall1
2.901725,65,0.55,0.65,Wall1
2.901725,66,0.65,0.65,Wall1
2.901725,67,0.75,0.65,Wall1
2.901725,68,0.85,0.65,Wall1
2.901725,69,0.95,0.65,Wall2
2.901725,70,0.05,0.75,Wall4
2.938295,0,0.05,0.05,Floor
2.938295,1,0.15,0.05,Floor
2.938295,2,0.25,0.05,Floor
2.938295,3,0.35,0.05,Floor
2.938295,4,0.45,0.05,Floor
2.938295,5,0.55,0.05,Floor
2.938295,6,0.65,0.05,Floor
2.938295,7,0.75,0.05,Floor
2.938295,8,0.85,0.05,Floor
2.938295,9,0.95,0.05,Floor
2.938295,10,0.05,0.15,Floor
2.938295,11,0.15,0.15,Floor
2.938295,12,0.25,0.15,Floor
2.938295,13,0.35,0.15,Floor
2.938295,14,0.45,0.15,Floor
2.938295,15,0.55,0.15,Floor
2.938295,16,0.65,0.15,Floor
2.938295,17,0.75,0.15,Floor
2.938295,18,0.85,0.15,Floor
2.938295,19,0.95,0.15,Floor
2.938295,20,0.05,0.25,Floor
2.938295,21,0.15,0.25,Floor
2.938295,22,0.25,0.25,Floor
2.938295,23,0.35,0.25,Floor
2.938295,24,0.45,0.25,Floor
2.938295,25,0.55,0.25,Floor
2.938295,26,0.65,0.25,Floor
2.938295,27,0.75,0.25,Floor
2.938295,28,0.85,0.25,Floor
2.938295,29,0.95,0.25,Floor
2.938295,30,0.05,0.35,Cube36
2.938295,31,0.15,0.35,Wall4
2.938295,32,0.25,0.35,Wall1
2.938295,33,0.35,0.35,Cube88
2.938295,34,0.45,0.35,Wall1
2.938295,35,0.55,0.35,Wall1
2.938295,36,0.65,0.35,Wall1
2.938295,37,0.75,0.35,Wall1
2.938295,38,0.85,0.35,Wall1
2.938295,39,0.95,0.35,Wall2
2.938295,40,0.05,0.45,Cube36
2.938295,41,0.15,0.45,Cube36
2.938295,42,0.25,0.45,Wall1
2.938295,43,0.35,0.45,Cube88
2.938295,44,0.45,0.45,Wall1
2.938295,45,0.55,0.45,Wall1
2.938295,46,0.65,0.45,Wall1
2.938295,47,0.75,0.45,Wall1
2.938295,48,0.85,0.45,Wall1
2.938295,49,0.95,0.45,Wall2
2.938295,50,0.05,0.55,Cube36
2.938295,51,0.15,0.55,Wall4
2.938295,52,0.25,0.55,Wall1
2.938295,53,0.35,0.55,Cube88
2.938295,54,0.45,0.55,Wall1
2.938295,55,0.55,0.55,Wall1
2.938295,56,0.65,0.55,Wall1
2.938295,57,0.75,0.55,Wall1
2.938295,58,0.85,0.55,Wall1
2.938295,59,0.95,0.55,Wall2
2.938295,60,0.05,0.65,Wall4
2.938295,61,0.15,0.65,Wall4
2.938295,62,0.25,0.65,Wall1
2.938295,63,0.35,0.65,Wall1
2.938295,64,0.45,0.65,Wall1
2.938295,65,0.55,0.65,Wall1
2.938295,66,0.65,0.65,Wall1
2.938295,67,0.75,0.65,Wall1
2.938295,68,0.85,0.65,Wall1
2.938295,69,0.95,0.65,Wall2
2.938295,70,0.05,0.75,Wall4
2.938295,79,0.95,0.75,Wall2
2.943346,0,0.05,0.05,Floor
2.943346,1,0.15,0.05,Floor
2.943346,2,0.25,0.05,Floor
2.943346,3,0.35,0.05,Floor
2.943346,4,0.45,0.05,Floor
2.943346,5,0.55,0.05,Floor
2.943346,6,0.65,0.05,Floor
2.943346,7,0.75,0.05,Floor
2.943346,8,0.85,0.05,Floor
2.943346,9,0.95,0.05,Floor
2.943346,10,0.05,0.15,Floor
2.943346,11,0.15,0.15,Floor
2.943346,12,0.25,0.15,Floor
2.943346,13,0.35,0.15,Floor
2.943346,14,0.45,0.15,Floor
2.943346,15,0.55,0.15,Floor
2.943346,16,0.65,0.15,Floor
2.943346,17,0.75,0.15,Floor
2.943346,18,0.85,0.15,Floor
2.943346,19,0.95,0.15,Floor
2.943346,20,0.05,0.25,Floor
2.943346,21,0.15,0.25,Floor
2.943346,22,0.25,0.25,Floor
2.943346,23,0.35,0.25,Floor
2.943346,24,0.45,0.25,Floor
2.943346,25,0.55,0.25,Floor
2.943346,26,0.65,0.25,Floor
2.943346,27,0.75,0.25,Floor
2.943346,28,0.85,0.25,Floor
2.943346,29,0.95,0.25,Floor
2.943346,30,0.05,0.35,Cube36
2.943346,31,0.15,0.35,Wall4
2.943346,32,0.25,0.35,Wall1
2.943346,33,0.35,0.35,Cube88
2.943346,34,0.45,0.35,Cube59
2.943346,35,0.55,0.35,Wall1
2.943346,36,0.65,0.35,Wall1
2.943346,37,0.75,0.35,Wall1
2.943346,38,0.85,0.35,Wall1
2.943346,39,0.95,0.35,Cube23
2.943346,40,0.05,0.45,Cube36
2.943346,41,0.15,0.45,Cube36
2.943346,42,0.25,0.45,Wall1
2.943346,43,0.35,0.45,Cube88
2.943346,44,0.45,0.45,Wall1
2.943346,45,0.55,0.45,Wall1
2.943346,46,0.65,0.45,Wall1
2.943346,47,0.75,0.45,Wall1
2.943346,48,0.85,0.45,Wall1
2.943346,49,0.95,0.45,Wall2
2.943346,50,0.05,0.55,Cube36
2.943346,51,0.15,0.55,Wall4
2.943346,52,0.25,0.55,Wall1
2.943346,53,0.35,0.55,Cube88
2.943346,54,0.45,0.55,Wall1
2.943346,55,0.55,0.55,Wall1
2.943346,56,0.65,0.55,Wall1
2.943346,57,0.75,0.55,Wall1
2.943346,58,0.85,0.55,Wall1
2.943346,59,0.95,0.55,Wall2
2.943346,60,0.05,0.65,Wall4
2.943346,61,0.15,0.65,Wall4
2.943346,62,0.25,0.65,Wall1
2.943346,63,0.35,0.65,Wall1
2.943346,64,0.45,0.65,Wall1
2.943346,65,0.55,0.65,Wall1
2.943346,66,0.65,0.65,Wall1
2.943346,67,0.75,0.65,Wall1
2.943346,68,0.85,0.65,Wall1
2.943346,69,0.95,0.65,Wall2
2.943346,70,0.05,0.75,Wall4
2.943346,79,0.95,0.75,Wall2
2.951837,0,0.05,0.05,Floor
2.951837,1,0.15,0.05,Floor
2.951837,2,0.25,0.05,Floor
2.951837,3,0.35,0.05,Floor
2.951837,4,0.45,0.05,Floor
2.951837,5,0.55,0.05,Floor
2.951837,6,0.65,0.05,Floor
2.951837,7,0.75,0.05,Floor
2.951837,8,0.85,0.05,Floor
2.951837,9,0.95,0.05,Floor
2.951837,10,0.05,0.15,Floor
2.951837,11,0.15,0.15,Floor
2.951837,12,0.25,0.15,Floor
2.951837,13,0.35,0.15,Floor
2.951837,14,0.45,0.15,Floor
2.951837,15,0.55,0.15,Floor
2.951837,16,0.65,0.15,Floor
2.951837,17,0.75,0.15,Floor
2.951837,18,0.85,0.15,Floor
2.951837,19,0.95,0.15,Floor
2.951837,20,0.05,0.25,Floor
2.951837,21,0.15,0.25,Floor
2.951837,22,0.25,0.25,Floor
2.951837,23,0.35,0.25,Floor
2.951837,24,0.45,0.25,Floor
2.951837,25,0.55,0.25,Floor
2.951837,26,0.65,0.25,Floor
2.951837,27,0.75,0.25,Floor
2.951837,28,0.85,0.25,Floor
2.951837,29,0.95,0.25,Floor
2.951837,30,0.05,0.35,Cube36
2.951837,31,0.15,0.35,Wall4
2.951837,32,0.25,0.35,Wall1
2.951837,33,0.35,0.35,Cube88
2.951837,34,0.45,0.35,Wall1
2.951837,35,0.55,0.35,Wall1
2.951837,36,0.65,0.35,Wall1
2.951837,37,0.75,0.35,Wall1
2.951837,38,0.85,0.35,Wall1
2.951837,39,0.95,0.35,Wall2
2.951837,40,0.05,0.45,Cube36
2.951837,41,0.15,0.45,Cube36
2.951837,42,0.25,0.45,Wall1
2.951837,43,0.35,0.45,Cube88
2.951837,44,0.45,0.45,Wall1
2.951837,45,0.55,0.45,Wall1
2.951837,46,0.65,0.45,Wall1
2.951837,47,0.75,0.45,Wall1
2.951837,48,0.85,0.45,Wall1
2.951837,49,0.95,0.45,Wall2
2.951837,50,0.05,0.55,Cube36
2.951837,51,0.15,0.55,Wall4
2.951837,52,0.25,0.55,Wall1
2.951837,53,0.35,0.55,Cube88
2.951837,54,0.45,0.55,Wall1
2.951837,55,0.55,0.55,Wall1
