timestamp,log_type,message,stacktrace
4.673505,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:324).  UXF.UI.UIController/<TryBeginSessionFromUISequence>d__43:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:421).  UnityEngine.MonoBehaviour:StartCoroutine (System.Collections.IEnumerator).  UXF.UI.UIController:TryBeginSessionFromUI () (at Assets/UXF/Scripts/UI/UIController.cs:214).  UnityEngine.EventSystems.EventSystem:Update () (at Library/PackageCache/com.unity.ugui@1.0.0/Runtime/EventSystem/EventSystem.cs:501).  
5.78,Log,First Person Controller,UnityEngine.Debug:Log (object).  startTrial:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/startTrial.cs:15).  
5.78,Log,Start Trial,UnityEngine.Debug:Log (object).  startTrial:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/startTrial.cs:16).  
5.78,Log,Start countdown,UnityEngine.Debug:Log (object).  countdown:BeginCountdown () (at Assets/Scripts/countdown.cs:24).  UnityEngine.Events.UnityEvent`1<UXF.Trial>:Invoke (UXF.Trial).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:113).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:405).  startTrial:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/startTrial.cs:17).  
5.8,Log,Reward: Diamond picked up (-0.63 1.12 -0.30),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:35).  
5.8,Log,Current score: 1,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:39).  
7.94,Log,Reward: Diamond picked up (-6.56 1.12 -9.48),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:35).  
7.94,Log,Current score: 2,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:39).  
8.42,Log,Reward: Diamond picked up (-11.66 1.12 -10.98),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:35).  
8.42,Log,Current score: 3,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:39).  
8.9,Log,Reward: Diamond picked up (-13.72 1.12 -12.75),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:35).  
8.9,Log,Current score: 4,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:39).  
9.52,Log,Reward: Diamond picked up (-8.00 1.12 -12.51),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:35).  
9.52,Log,Current score: 5,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:39).  
11.28,Log,Reward: Diamond picked up (-4.34 1.12 -18.74),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:35).  
11.28,Log,Current score: 6,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:39).  
11.76,Log,Reward: Diamond picked up (-8.65 1.12 -18.83),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:35).  
11.76,Log,Current score: 7,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:39).  
12.86,Log,Reward: Diamond picked up (-19.28 1.12 -12.80),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:35).  
12.86,Log,Current score: 8,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:39).  
13.56,Log,Reward: Diamond picked up (-23.52 1.12 -10.65),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:35).  
13.56,Log,Current score: 9,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:39).  
13.6,Log,Reward: Diamond picked up (-22.49 1.12 -9.11),UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:35).  
13.6,Log,Current score: 10,UnityEngine.Debug:Log (object).  objectScript:OnTriggerEnter (UnityEngine.Collider) (at Assets/Scripts/objectScript.cs:39).  
13.60268,Log,Target score reached. Trial over.,UnityEngine.Debug:Log (object).  scoreCounter:Update () (at Assets/Scripts/scoreCounter.cs:29).  
