time,rayIndex,x,y,objectDetected
5.781961,0,0.05,0.05,Floor
5.781961,1,0.15,0.05,Floor
5.781961,2,0.25,0.05,Floor
5.781961,3,0.35,0.05,trialStarter
5.781961,4,0.45,0.05,trialStarter
5.781961,5,0.55,0.05,trialStarter
5.781961,6,0.65,0.05,trialStarter
5.781961,7,0.75,0.05,Floor
5.781961,8,0.85,0.05,Floor
5.781961,9,0.95,0.05,Floor
5.781961,10,0.05,0.15,Floor
5.781961,11,0.15,0.15,Floor
5.781961,12,0.25,0.15,Floor
5.781961,13,0.35,0.15,Floor
5.781961,14,0.45,0.15,trialStarter
5.781961,15,0.55,0.15,trialStarter
5.781961,16,0.65,0.15,Floor
5.781961,17,0.75,0.15,Floor
5.781961,18,0.85,0.15,Floor
5.781961,19,0.95,0.15,Floor
5.781961,20,0.05,0.25,Floor
5.781961,21,0.15,0.25,Floor
5.781961,22,0.25,0.25,Floor
5.781961,23,0.35,0.25,Floor
5.781961,24,0.45,0.25,Floor
5.781961,25,0.55,0.25,Floor
5.781961,26,0.65,0.25,Floor
5.781961,27,0.75,0.25,Floor
5.781961,28,0.85,0.25,Floor
5.781961,29,0.95,0.25,Floor
5.781961,30,0.05,0.35,Floor
5.781961,31,0.15,0.35,Floor
5.781961,32,0.25,0.35,Floor
5.781961,33,0.35,0.35,Floor
5.781961,34,0.45,0.35,Floor
5.781961,35,0.55,0.35,Floor
5.781961,36,0.65,0.35,Floor
5.781961,37,0.75,0.35,Floor
5.781961,38,0.85,0.35,Floor
5.781961,39,0.95,0.35,Floor
5.781961,40,0.05,0.45,Wall1
5.781961,41,0.15,0.45,Wall1
5.781961,42,0.25,0.45,Wall1
5.781961,43,0.35,0.45,Wall1
5.781961,44,0.45,0.45,Wall1
5.781961,45,0.55,0.45,Wall1
5.781961,46,0.65,0.45,Wall1
5.781961,47,0.75,0.45,Wall1
5.781961,48,0.85,0.45,Wall1
5.781961,49,0.95,0.45,Wall1
5.781961,50,0.05,0.55,Wall1
5.781961,51,0.15,0.55,Wall1
5.781961,52,0.25,0.55,Wall1
5.781961,53,0.35,0.55,Wall1
5.781961,54,0.45,0.55,Wall1
5.781961,55,0.55,0.55,Wall1
5.781961,56,0.65,0.55,Wall1
5.781961,57,0.75,0.55,Wall1
5.781961,58,0.85,0.55,Wall1
5.781961,59,0.95,0.55,Wall1
5.781961,60,0.05,0.65,functionalDiamond99
5.781961,61,0.15,0.65,Wall1
5.781961,62,0.25,0.65,Wall1
5.781961,63,0.35,0.65,Wall1
5.781961,64,0.45,0.65,Wall1
5.781961,65,0.55,0.65,Wall1
5.781961,66,0.65,0.65,Wall1
5.781961,67,0.75,0.65,Wall1
5.781961,68,0.85,0.65,Wall1
5.781961,69,0.95,0.65,Wall1
5.781961,70,0.05,0.75,functionalDiamond99
5.781961,71,0.15,0.75,Wall1
5.781961,72,0.25,0.75,Wall1
5.781961,73,0.35,0.75,Wall1
5.781961,74,0.45,0.75,Wall1
5.781961,75,0.55,0.75,Wall1
5.781961,76,0.65,0.75,Wall1
5.781961,77,0.75,0.75,Wall1
5.781961,78,0.85,0.75,Wall1
5.781961,79,0.95,0.75,Wall1
5.781961,80,0.05,0.85,functionalDiamond99
5.781961,81,0.15,0.85,functionalDiamond99
5.781961,91,0.15,0.95,functionalDiamond99
5.781961,92,0.25,0.95,functionalDiamond99
5.781961,93,0.35,0.95,functionalDiamond99
5.781961,98,0.85,0.95,functionalDiamond99
5.781961,99,0.95,0.95,functionalDiamond99
5.822597,0,0.05,0.05,Floor
5.822597,1,0.15,0.05,Floor
5.822597,2,0.25,0.05,Floor
5.822597,3,0.35,0.05,Floor
5.822597,4,0.45,0.05,trialStarter
5.822597,5,0.55,0.05,trialStarter
5.822597,6,0.65,0.05,trialStarter
5.822597,7,0.75,0.05,Floor
5.822597,8,0.85,0.05,Floor
5.822597,9,0.95,0.05,Floor
5.822597,10,0.05,0.15,Floor
5.822597,11,0.15,0.15,Floor
5.822597,12,0.25,0.15,Floor
5.822597,13,0.35,0.15,Floor
5.822597,14,0.45,0.15,Floor
5.822597,15,0.55,0.15,Floor
5.822597,16,0.65,0.15,Floor
5.822597,17,0.75,0.15,Floor
5.822597,18,0.85,0.15,Floor
5.822597,19,0.95,0.15,Floor
5.822597,20,0.05,0.25,Floor
5.822597,21,0.15,0.25,Floor
5.822597,22,0.25,0.25,Floor
5.822597,23,0.35,0.25,Floor
5.822597,24,0.45,0.25,Floor
5.822597,25,0.55,0.25,Floor
5.822597,26,0.65,0.25,Floor
5.822597,27,0.75,0.25,Floor
5.822597,28,0.85,0.25,Floor
5.822597,29,0.95,0.25,Floor
5.822597,30,0.05,0.35,Floor
5.822597,31,0.15,0.35,Floor
5.822597,32,0.25,0.35,Floor
5.822597,33,0.35,0.35,Floor
5.822597,34,0.45,0.35,Floor
5.822597,35,0.55,0.35,Floor
5.822597,36,0.65,0.35,Floor
5.822597,37,0.75,0.35,Floor
5.822597,38,0.85,0.35,Floor
5.822597,39,0.95,0.35,Floor
5.822597,40,0.05,0.45,functionalDiamond22
5.822597,41,0.15,0.45,Wall1
5.822597,42,0.25,0.45,Wall1
5.822597,43,0.35,0.45,Wall1
5.822597,44,0.45,0.45,Wall1
5.822597,45,0.55,0.45,Wall1
5.822597,46,0.65,0.45,functionalDiamond70
5.822597,47,0.75,0.45,Wall1
5.822597,48,0.85,0.45,functionalDiamond56
5.822597,49,0.95,0.45,functionalDiamond56
5.822597,50,0.05,0.55,functionalDiamond22
5.822597,51,0.15,0.55,Wall1
5.822597,52,0.25,0.55,Wall1
5.822597,53,0.35,0.55,Wall1
5.822597,54,0.45,0.55,Wall1
5.822597,55,0.55,0.55,Wall1
5.822597,56,0.65,0.55,Wall1
5.822597,57,0.75,0.55,Wall1
5.822597,58,0.85,0.55,functionalDiamond56
5.822597,59,0.95,0.55,functionalDiamond56
5.822597,60,0.05,0.65,Wall1
5.822597,61,0.15,0.65,Wall1
5.822597,62,0.25,0.65,Wall1
5.822597,63,0.35,0.65,Wall1
5.822597,64,0.45,0.65,Wall1
5.822597,65,0.55,0.65,Wall1
5.822597,66,0.65,0.65,Wall1
5.822597,67,0.75,0.65,Wall1
5.822597,68,0.85,0.65,functionalDiamond56
5.822597,69,0.95,0.65,functionalDiamond56
5.822597,70,0.05,0.75,Wall1
5.822597,71,0.15,0.75,Wall1
5.822597,72,0.25,0.75,Wall1
5.822597,73,0.35,0.75,Wall1
5.822597,74,0.45,0.75,Wall1
5.822597,75,0.55,0.75,Wall1
5.822597,76,0.65,0.75,Wall1
5.822597,77,0.75,0.75,Wall1
5.822597,78,0.85,0.75,Wall1
5.822597,79,0.95,0.75,Wall1
5.830927,0,0.05,0.05,Floor
5.830927,1,0.15,0.05,Floor
5.830927,2,0.25,0.05,Floor
5.830927,3,0.35,0.05,Floor
5.830927,4,0.45,0.05,trialStarter
5.830927,5,0.55,0.05,trialStarter
5.830927,6,0.65,0.05,trialStarter
5.830927,7,0.75,0.05,Floor
5.830927,8,0.85,0.05,Floor
5.830927,9,0.95,0.05,Floor
5.830927,10,0.05,0.15,Floor
5.830927,11,0.15,0.15,Floor
5.830927,12,0.25,0.15,Floor
5.830927,13,0.35,0.15,Floor
5.830927,14,0.45,0.15,Floor
5.830927,15,0.55,0.15,Floor
5.830927,16,0.65,0.15,Floor
5.830927,17,0.75,0.15,Floor
5.830927,18,0.85,0.15,Floor
5.830927,19,0.95,0.15,Floor
5.830927,20,0.05,0.25,Floor
5.830927,21,0.15,0.25,Floor
5.830927,22,0.25,0.25,Floor
5.830927,23,0.35,0.25,Floor
5.830927,24,0.45,0.25,Floor
5.830927,25,0.55,0.25,Floor
5.830927,26,0.65,0.25,Floor
5.830927,27,0.75,0.25,Floor
5.830927,28,0.85,0.25,Floor
5.830927,29,0.95,0.25,Floor
5.830927,30,0.05,0.35,Floor
5.830927,31,0.15,0.35,Floor
5.830927,32,0.25,0.35,Floor
5.830927,33,0.35,0.35,Floor
5.830927,34,0.45,0.35,Floor
5.830927,35,0.55,0.35,Floor
5.830927,36,0.65,0.35,Floor
5.830927,37,0.75,0.35,Floor
5.830927,38,0.85,0.35,Floor
5.830927,39,0.95,0.35,Floor
5.830927,40,0.05,0.45,functionalDiamond22
5.830927,41,0.15,0.45,Wall1
5.830927,42,0.25,0.45,Wall1
5.830927,43,0.35,0.45,Wall1
5.830927,44,0.45,0.45,Wall1
5.830927,45,0.55,0.45,Wall1
5.830927,46,0.65,0.45,functionalDiamond70
5.830927,47,0.75,0.45,Wall1
5.830927,48,0.85,0.45,functionalDiamond56
5.830927,49,0.95,0.45,functionalDiamond56
5.830927,50,0.05,0.55,functionalDiamond22
5.830927,51,0.15,0.55,Wall1
5.830927,52,0.25,0.55,Wall1
5.830927,53,0.35,0.55,Wall1
5.830927,54,0.45,0.55,Wall1
5.830927,55,0.55,0.55,Wall1
5.830927,56,0.65,0.55,Wall1
5.830927,57,0.75,0.55,Wall1
5.830927,58,0.85,0.55,functionalDiamond56
5.830927,59,0.95,0.55,functionalDiamond56
5.830927,60,0.05,0.65,Wall1
5.830927,61,0.15,0.65,Wall1
5.830927,62,0.25,0.65,Wall1
5.830927,63,0.35,0.65,Wall1
5.830927,64,0.45,0.65,Wall1
5.830927,65,0.55,0.65,Wall1
5.830927,66,0.65,0.65,Wall1
5.830927,67,0.75,0.65,Wall1
