time,rayIndex,x,y,objectDetected
9.523954,0,0.05,0.05,Floor
9.523954,1,0.15,0.05,Floor
9.523954,2,0.25,0.05,trialStarter
9.523954,3,0.35,0.05,trialStarter
9.523954,4,0.45,0.05,trialStarter
9.523954,5,0.55,0.05,trialStarter
9.523954,6,0.65,0.05,trialStarter
9.523954,7,0.75,0.05,trialStarter
9.523954,8,0.85,0.05,Floor
9.523954,9,0.95,0.05,Floor
9.523954,10,0.05,0.15,Floor
9.523954,11,0.15,0.15,Floor
9.523954,12,0.25,0.15,trialStarter
9.523954,13,0.35,0.15,trialStarter
9.523954,14,0.45,0.15,trialStarter
9.523954,15,0.55,0.15,trialStarter
9.523954,16,0.65,0.15,trialStarter
9.523954,17,0.75,0.15,trialStarter
9.523954,18,0.85,0.15,Floor
9.523954,19,0.95,0.15,Floor
9.523954,20,0.05,0.25,Floor
9.523954,21,0.15,0.25,Floor
9.523954,22,0.25,0.25,trialStarter
9.523954,23,0.35,0.25,trialStarter
9.523954,24,0.45,0.25,trialStarter
9.523954,25,0.55,0.25,trialStarter
9.523954,26,0.65,0.25,trialStarter
9.523954,27,0.75,0.25,Floor
9.523954,28,0.85,0.25,Floor
9.523954,29,0.95,0.25,Floor
9.523954,30,0.05,0.35,Floor
9.523954,31,0.15,0.35,Floor
9.523954,32,0.25,0.35,Floor
9.523954,33,0.35,0.35,trialStarter
9.523954,34,0.45,0.35,trialStarter
9.523954,35,0.55,0.35,trialStarter
9.523954,36,0.65,0.35,trialStarter
9.523954,37,0.75,0.35,Floor
9.523954,38,0.85,0.35,Floor
9.523954,39,0.95,0.35,Floor
9.523954,40,0.05,0.45,Floor
9.523954,41,0.15,0.45,Floor
9.523954,42,0.25,0.45,Floor
9.523954,43,0.35,0.45,trialStarter
9.523954,44,0.45,0.45,trialStarter
9.523954,45,0.55,0.45,trialStarter
9.523954,46,0.65,0.45,Floor
9.523954,47,0.75,0.45,Floor
9.523954,48,0.85,0.45,Floor
9.523954,49,0.95,0.45,Floor
9.523954,50,0.05,0.55,Floor
9.523954,51,0.15,0.55,Floor
9.523954,52,0.25,0.55,Floor
9.523954,53,0.35,0.55,Floor
9.523954,54,0.45,0.55,Floor
9.523954,55,0.55,0.55,Floor
9.523954,56,0.65,0.55,Floor
9.523954,57,0.75,0.55,Floor
9.523954,58,0.85,0.55,Floor
9.523954,59,0.95,0.55,Floor
9.523954,60,0.05,0.65,Floor
9.523954,61,0.15,0.65,Floor
9.523954,62,0.25,0.65,Floor
