time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
58.56177,0.635587,0,0.925124,0,212.7549,0
58.58781,0.646795,0,0.755903,0,213.8517,0
58.59526,0.646795,0,0.755903,0,214.5506,0
58.60324,0.650348,0,0.599287,0,215.117,0
58.60798,0.650348,0,0.599287,0,215.439,0
58.61242,0.650348,0,0.599287,0,215.7464,0
58.61999,0.650348,0,0.599287,0,216.0489,0
58.62503,0.646977,0,0.460899,0,216.3497,0
58.63052,0.646977,0,0.460899,0,216.5833,0
58.63552,0.646977,0,0.460899,0,216.7945,0
58.63993,0.646977,0,0.460899,0,216.9316,0
58.64506,0.639148,0,0.3394,0,217.1106,0
58.65081,0.639148,0,0.3394,0,217.3036,0
58.65508,0.639148,0,0.3394,0,217.4346,0
58.66018,0.628619,0,0.230683,0,217.6116,0
58.66633,0.628619,0,0.230683,0,217.8039,0
58.67131,0.628619,0,0.230683,0,217.9347,0
58.67562,0.628619,0,0.230683,0,218.045,0
58.68108,0.614883,0,0.139685,0,218.2151,0
58.68631,0.614883,0,0.139685,0,218.3384,0
58.69092,0.614883,0,0.139685,0,218.4462,0
58.69764,0.614883,0,0.139685,0,218.6155,0
58.70406,0.598233,0,0.068167,0,218.8053,0
58.70942,0.598233,0,0.068167,0,219.0018,0
58.71471,0.598233,0,0.068167,0,219.2007,0
58.7197,0.598233,0,0.068167,0,219.4003,0
58.72398,0.579167,0,0.01365,0,219.6002,0
58.72959,0.579167,0,0.01365,0,219.8668,0
58.73412,0.579167,0,0.01365,0,220.0224,0
58.73842,0.579167,0,0.01365,0,220.2742,0
58.7433,0.558246,0,-0.024385,0,220.4915,0
58.74818,0.558246,0,-0.024385,0,220.6973,0
58.75304,0.558246,0,-0.024385,0,220.9658,0
58.75729,0.558246,0,-0.024385,0,221.122,0
58.76215,0.537738,0,-0.047876,0,221.3074,0
58.76709,0.537738,0,-0.047876,0,221.5026,0
58.77089,0.537738,0,-0.047876,0,221.5676,0
58.77503,0.537738,0,-0.047876,0,221.5893,0
58.77927,0.537738,0,-0.047876,0,221.6632,0
58.78358,0.525555,0,-0.061567,0,221.6878,0
58.78775,0.525555,0,-0.061567,0,221.696,0
58.79193,0.525555,0,-0.061567,0,221.6987,0
58.79581,0.525555,0,-0.061567,0,221.6997,0
58.79977,0.525555,0,-0.061567,0,221.7,0
58.80376,0.521419,0,-0.06621,0,221.7001,0
58.80811,0.521419,0,-0.06621,0,221.7001,0
58.81208,0.521419,0,-0.06621,0,221.7001,0
58.81612,0.521419,0,-0.06621,0,221.7001,0
58.81995,0.521419,0,-0.06621,0,221.7001,0
58.82421,0.521419,0,-0.06621,0,221.7001,0
58.82857,0.521419,0,-0.06621,0,221.7001,0
58.83255,0.521419,0,-0.06621,0,221.7001,0
58.83631,0.521419,0,-0.06621,0,221.7001,0
58.84057,0.521419,0,-0.06621,0,221.7001,0
58.84513,0.521419,0,-0.06621,0,221.7001,0
58.84892,0.521419,0,-0.06621,0,221.7001,0
58.8532,0.521419,0,-0.06621,0,221.7001,0
58.85706,0.521419,0,-0.06621,0,221.7001,0
58.86101,0.521419,0,-0.06621,0,221.7001,0
58.8653,0.521419,0,-0.06621,0,221.7001,0
58.86944,0.521419,0,-0.06621,0,221.7001,0
58.87363,0.521419,0,-0.06621,0,221.7001,0
58.87728,0.521419,0,-0.06621,0,221.7001,0
58.88181,0.521419,0,-0.06621,0,221.7001,0
58.88633,0.521419,0,-0.06621,0,221.7001,0
58.88984,0.521419,0,-0.06621,0,221.7001,0
58.89381,0.521419,0,-0.06621,0,221.7001,0
58.8974,0.521419,0,-0.06621,0,221.7001,0
58.90187,0.521419,0,-0.06621,0,221.7001,0
58.90589,0.521419,0,-0.06621,0,221.7001,0
58.90971,0.521419,0,-0.06621,0,221.7001,0
58.914,0.521419,0,-0.06621,0,221.7001,0
58.91802,0.521419,0,-0.06621,0,221.7001,0
58.92209,0.521419,0,-0.06621,0,221.7001,0
58.92717,0.521419,0,-0.06621,0,221.7668,0
58.9314,0.521419,0,-0.06621,0,221.8557,0
58.93639,0.521419,0,-0.06621,0,221.952,0
58.94146,0.521419,0,-0.06621,0,222.1174,0
58.94622,0.521419,0,-0.06621,0,222.3059,0
58.95163,0.521419,0,-0.06621,0,222.5687,0
58.95683,0.521419,0,-0.06621,0,222.9897,0
58.96138,0.521419,0,-0.06621,0,223.33,0
58.96676,0.521419,0,-0.06621,0,223.7767,0
58.97187,0.521419,0,-0.06621,0,224.3257,0
58.97684,0.521419,0,-0.06621,0,224.9753,0
58.98172,0.521419,0,-0.06621,0,225.6585,0
