time,FPS
58.56177,284
58.58781,284
58.59526,284
58.60324,284
58.60798,284
58.61242,284
58.61999,284
58.62503,284
58.63052,284
58.63552,284
58.63993,284
58.64506,284
58.65081,284
58.65508,284
58.66018,284
58.66633,284
58.67131,284
58.67562,284
58.68108,284
58.68631,284
58.69092,284
58.69764,284
58.70406,284
58.70942,284
58.71471,284
58.7197,284
58.72398,284
58.72959,284
58.73412,284
58.73842,284
58.7433,284
58.74818,284
58.75304,284
58.75729,284
58.76215,284
58.76709,284
58.77089,284
58.77503,284
58.77927,284
58.78358,284
58.78775,284
58.79193,284
58.79581,284
58.79977,284
58.80376,284
58.80811,284
58.81208,284
58.81612,284
58.81995,284
58.82421,284
58.82857,284
58.83255,284
58.83631,284
58.84057,284
58.84513,284
58.84892,284
58.8532,284
58.85706,284
58.86101,284
58.8653,284
58.86944,284
58.87363,284
58.87728,284
58.88181,284
58.88633,284
58.88984,284
58.89381,284
58.8974,284
58.90187,284
58.90589,284
58.90971,284
58.914,214
58.91802,214
58.92209,214
58.92717,214
58.9314,214
58.93639,214
58.94146,214
58.94622,214
58.95163,214
58.95683,214
58.96138,214
58.96676,214
58.97187,214
58.97684,214
58.98172,214
58.98717,214
58.99207,214
58.99824,214
59.00333,214
59.00883,214
59.01392,214
59.01921,214
59.0238,214
59.02988,214
59.03426,214
59.03911,214
59.04367,214
59.04888,214
59.05378,214
59.05829,214
59.06343,214
59.06916,214
59.07396,214
59.07896,214
59.08388,214
59.08928,214
59.09425,214
59.09868,214
59.10369,214
59.11298,214
59.11776,214
59.12333,214
59.12897,214
59.13328,214
59.13992,214
59.14465,214
59.14986,214
59.15432,214
59.15919,214
59.16311,214
59.16758,214
59.17242,214
59.18087,214
59.18615,214
59.19068,214
59.19538,214
59.20075,214
59.21014,214
59.2211,214
59.22624,214
59.23079,214
59.23603,214
59.24116,214
59.24616,214
59.25169,214
59.2567,214
59.26173,214
59.26809,214
59.27263,214
59.27775,214
59.2837,214
59.28897,214
59.2936,214
59.30298,214
59.31154,214
59.3162,214
59.32056,214
59.326,214
59.33179,214
59.33635,214
59.34155,214
59.34787,214
59.35188,214
59.35602,214
59.3599,214
59.36364,214
59.36797,214
59.37181,214
59.37559,214
59.38,214
59.38407,214
59.38805,214
59.39206,214
59.39651,214
59.40125,214
59.40699,214
59.41145,214
59.41589,194
59.42062,194
59.43003,194
59.43396,194
59.43777,194
59.4427,194
59.44667,194
59.45082,194
59.45871,194
59.47554,194
59.48011,194
59.48608,194
59.49199,194
59.49624,194
59.50095,194
59.5095,194
59.51728,194
59.52201,194
59.52704,194
59.53196,194
59.53664,194
59.54158,194
59.54667,194
59.55228,194
59.5568,194
59.5617,194
59.56745,194
59.57194,194
59.57652,194
59.58103,194
59.5862,194
59.59053,194
59.59523,194
59.59987,194
59.60421,194
59.60902,194
59.61303,194
59.61781,194
59.62227,194
59.62673,194
59.63176,194
59.63632,194
59.64045,194
59.64544,194
59.64986,194
59.65403,194
59.65884,194
59.66347,194
59.66787,194
59.67163,194
59.67564,194
59.67988,194
59.68422,194
59.6888,194
59.69257,194
59.69668,194
59.70087,194
59.70488,194
59.70894,194
59.71362,194
59.7173,194
59.72137,194
59.72642,194
59.7307,194
59.73484,194
59.73841,194
59.74288,194
59.74738,194
59.7518,194
59.75576,194
59.76033,194
59.76498,194
59.76963,194
59.77473,194
59.77908,194
59.7839,194
59.78996,194
59.79409,194
59.79856,194
59.80318,194
59.80796,194
59.81236,194
59.8167,194
59.82162,194
59.82663,194
59.83092,194
59.83562,194
59.83997,194
59.84429,194
59.84895,194
59.85397,194
59.85876,194
59.86286,194
59.86794,194
59.8722,194
59.87632,194
59.88087,194
59.88614,194
59.89094,194
59.89499,194
59.89978,194
59.90778,194
59.91428,204
59.91848,204
59.92272,204
59.92838,204
59.93268,204
59.93684,204
59.94174,204
59.94677,204
59.95135,204
59.9558,204
59.96045,204
59.96565,204
59.97129,204
59.97615,204
59.98162,204
59.98747,204
59.99273,204
59.99791,204
60.00186,204
60.00711,204
60.01163,204
60.01586,204
60.02028,204
60.02529,204
60.02976,204
60.03402,204
60.03834,204
60.04269,204
60.04787,204
60.05218,204
60.05672,204
60.06131,204
60.06628,204
60.07089,204
60.07582,204
60.0808,204
60.08566,204
60.09097,204
60.09577,204
60.10117,204
60.11037,204
60.11494,204
60.11984,204
60.12504,204
60.12997,204
60.13413,204
60.13929,204
60.14376,204
60.14836,204
60.15402,204
60.1584,204
60.16298,204
60.16784,204
60.17313,204
60.17741,204
60.18174,204
60.18769,204
60.1921,204
60.19628,204
60.20089,204
60.20599,204
60.21,204
60.21428,204
60.2189,204
60.22285,204
60.22773,204
60.23292,204
60.23676,204
60.24077,204
60.24506,204
60.24965,204
60.25365,204
60.25787,204
60.26179,204
60.26669,204
60.27089,204
60.27516,204
60.27998,204
60.28466,204
60.28994,204
60.29404,204
60.29889,204
60.30321,204
60.30786,204
60.31232,204
60.31727,204
60.32104,204
60.326,204
60.33112,204
60.33524,204
60.33988,204
60.34453,204
60.34911,204
60.35369,204
60.35866,204
60.36256,204
60.36802,204
60.37226,204
60.37635,204
60.38078,204
60.38592,204
60.3899,204
60.39444,204
60.3985,204
60.40282,204
60.40813,204
60.41251,204
60.41671,214
60.42191,214
60.42638,214
60.43087,214
60.4352,214
60.43991,214
60.44428,214
60.44937,214
60.45389,214
60.4586,214
60.46311,214
60.47313,214
60.48186,214
60.49132,214
60.50085,214
60.51686,214
60.52127,214
60.52692,214
60.53277,214
60.5368,214
60.54183,214
60.54691,214
60.55137,214
60.55596,214
60.56084,214
60.56594,214
60.57073,214
60.57577,214
60.58086,214
60.58563,214
60.58985,214
60.59507,214
60.5999,214
60.60428,214
60.6098,214
60.61417,214
60.61831,214
60.62307,214
60.62822,214
60.63242,214
60.63697,214
60.64135,214
60.64634,214
60.65097,214
60.65466,214
60.65962,214
60.66338,214
60.66747,214
60.67159,214
60.67501,214
60.67953,214
60.68294,214
60.6879,214
60.6922,214
60.69564,214
60.70046,214
60.70547,214
60.70952,214
60.71407,214
60.71935,214
60.72392,214
60.72876,214
60.73333,214
60.73761,214
60.74481,214
60.75467,214
60.75818,214
60.76212,214
60.76675,214
60.77068,214
60.77481,214
60.77938,214
60.78381,214
60.78852,214
60.79295,214
60.79765,214
60.80109,214
60.80571,214
60.81046,214
60.81503,214
60.819,214
60.82308,214
60.82832,214
60.83276,214
60.83701,214
60.84216,214
60.84676,214
60.85123,214
60.85564,214
60.86027,214
60.86494,214
60.86901,214
60.87399,214
60.87809,214
