time,FPS
6.981052,256
7.01741,256
7.032949,256
7.042074,256
7.046414,256
7.050597,256
7.054633,256
7.058972,256
7.062727,256
7.067677,256
7.071574,256
7.075983,256
7.07951,256
7.086109,256
7.094301,256
7.097968,256
7.102358,256
7.106922,256
7.111406,256
7.11691,256
7.121006,256
7.125894,256
7.130051,256
7.134458,256
7.139061,256
7.143136,256
7.148721,256
7.153373,256
7.158068,256
7.162117,256
7.169742,256
7.18188,256
7.186644,256
7.190803,256
7.195072,256
7.199317,256
7.203363,256
7.208441,256
7.212735,256
7.221446,256
7.234383,256
7.238114,256
7.242118,256
7.246071,256
7.249934,256
7.253307,256
7.257169,256
7.26095,256
7.264951,256
7.268587,256
7.272377,256
7.276088,256
7.279638,256
7.283467,256
7.287693,256
7.29166,208
7.29513,208
7.299188,208
7.302804,208
7.307272,208
7.311051,208
7.318979,208
7.322735,208
7.334037,208
7.338449,208
7.342197,208
7.346611,208
7.350119,208
7.354336,208
7.357897,208
7.361564,208
7.365437,208
7.369345,208
7.373135,208
7.376596,208
7.381027,208
7.385077,208
7.388998,208
7.392367,208
7.396619,208
7.400716,208
7.405333,208
7.409738,208
7.414742,208
7.418998,208
7.426272,208
7.435173,208
7.439812,208
7.444684,208
7.450054,208
7.454058,208
7.459742,208
7.4642,208
7.468799,208
7.473823,208
7.486997,208
7.492224,208
7.496795,208
7.501311,208
7.506785,208
7.510807,208
7.515158,208
7.519636,208
7.523829,208
7.532039,208
7.540866,208
7.54573,208
7.550281,208
7.555035,208
7.559295,208
7.564029,208
7.569834,208
7.574174,208
7.578675,208
7.583794,208
7.588921,208
7.593272,208
7.598853,208
7.603623,208
7.609152,208
7.613597,208
7.618916,208
7.623881,208
7.63794,208
7.641844,208
7.64623,208
7.649944,208
7.653934,208
7.657984,208
7.662127,208
7.666445,208
7.674412,208
7.678574,208
7.682234,208
7.686329,208
7.689938,208
7.693979,208
7.697707,208
7.701549,208
7.705428,208
7.709444,208
7.713264,208
7.716991,208
7.720881,208
7.725319,208
7.729452,208
7.733311,208
7.736964,208
7.741074,208
7.745744,208
7.749777,208
7.753346,208
7.757352,208
7.761035,208
7.765807,208
7.770047,208
7.773676,208
7.77762,208
7.790091,206
7.799349,206
7.803323,206
7.807364,206
7.811549,206
7.815042,206
7.819542,206
7.823084,206
7.827326,206
7.8309,206
7.834941,206
7.838826,206
7.842319,206
7.846583,206
7.850297,206
7.854274,206
7.85773,206
7.861495,206
7.866186,206
7.869834,206
7.873642,206
7.87713,206
7.881392,206
7.885283,206
7.889305,206
7.892963,206
7.897525,206
7.901379,206
7.905573,206
7.9097,206
7.917915,206
7.922028,206
7.927427,206
7.9312,206
7.94336,206
7.947438,206
7.95126,206
7.954793,206
7.958874,206
7.96229,206
7.966448,206
7.970295,206
7.973825,206
7.977719,206
7.98169,206
7.986414,206
7.993552,206
8.001927,206
8.006258,206
8.010271,206
8.01416,206
8.018846,206
8.023108,206
8.028306,206
8.032399,206
8.036584,206
8.041829,206
8.046431,206
8.050745,206
8.055596,206
8.06042,206
8.065025,206
8.070641,206
8.074973,206
8.078955,206
8.083327,206
8.096293,206
8.100271,206
8.104988,206
8.109793,206
8.113794,206
8.118806,206
8.12293,206
8.128713,206
8.134763,206
8.139664,206
8.143958,206
8.148886,206
8.158093,206
8.166784,206
8.175637,206
8.179768,206
8.183825,206
8.188224,206
8.191705,206
8.19517,206
8.199224,206
8.202662,206
8.20651,206
8.210014,206
8.213436,206
8.217273,206
8.220983,206
8.224849,206
8.228616,206
8.232451,206
8.23728,206
8.250649,206
8.255052,206
8.259073,206
8.263341,206
8.267981,206
8.271935,206
8.276153,206
8.280235,206
8.284737,206
8.28914,212
8.296623,212
8.304928,212
8.310626,212
8.314733,212
8.319187,212
8.323366,212
8.328712,212
8.333143,212
8.337477,212
8.341958,212
8.346768,212
8.350792,212
8.35477,212
8.359863,212
8.36367,212
8.368273,212
8.372499,212
8.376801,212
8.381208,212
8.385997,212
8.390955,212
8.402675,212
8.407694,212
8.411956,212
8.415998,212
8.420515,212
8.425167,212
8.429626,212
8.434752,212
8.442456,212
8.452079,212
8.45631,212
8.460725,212
8.464958,212
8.469123,212
8.473175,212
8.477759,212
8.482381,212
8.487104,212
8.491693,212
8.495718,212
8.500759,212
8.505218,212
8.509305,212
8.513765,212
8.517938,212
8.521763,212
8.526104,212
8.530319,212
8.534426,212
8.538232,212
8.542139,212
8.554318,212
8.558302,212
8.562905,212
8.567155,212
8.571313,212
8.575941,212
8.580755,212
8.589492,212
8.597762,212
8.601768,212
8.608376,212
8.614142,212
8.618238,212
8.623137,212
8.627652,212
8.63191,212
8.635951,212
8.640215,212
8.644909,212
8.648901,212
8.653172,212
8.65803,212
8.662005,212
8.666285,212
8.671444,212
8.675187,212
8.67913,212
8.682384,212
8.686929,212
8.690177,212
8.69381,212
8.704685,212
8.708419,212
8.712296,212
8.716443,212
8.720785,212
8.725323,212
8.732603,212
8.742203,212
8.746448,212
8.750385,212
8.754358,212
8.757916,212
8.761387,212
8.765654,212
8.769555,212
8.772893,212
8.77667,212
8.780277,212
8.7845,212
8.787957,212
8.79176,208
8.795384,208
8.799261,208
8.802773,208
8.806834,208
8.810546,208
8.813899,208
8.817408,208
8.820764,208
8.824618,208
8.828362,208
8.83272,208
8.837022,208
8.842804,208
8.847739,208
8.859574,208
8.871449,208
8.876011,208
8.879692,208
8.883383,208
8.887424,208
8.891367,208
8.895508,208
8.899072,208
8.902856,208
8.907863,208
8.911754,208
8.916061,208
8.920583,208
8.929219,208
8.937779,208
8.942074,208
8.946846,208
8.951884,208
8.956286,208
8.960812,208
8.966628,208
8.971166,208
8.975204,208
8.97976,208
8.983786,208
8.988427,208
8.992481,208
8.996169,208
9.000756,208
9.01385,208
9.018325,208
9.02258,208
9.027707,208
9.032035,208
9.036292,208
9.041095,208
9.046206,208
9.050776,208
9.055501,208
9.061097,208
9.065778,208
9.070401,208
9.074703,208
9.079828,208
9.08467,208
9.092052,208
9.096783,208
9.10083,208
9.105824,208
9.110962,208
9.1196,208
9.128962,208
9.137825,208
9.147605,208
9.152168,208
9.164224,208
9.169209,208
9.173376,208
9.176893,208
9.180722,208
9.184616,208
9.188744,208
9.192383,208
9.19583,208
9.199693,208
9.203904,208
9.208387,208
9.211931,208
9.215738,208
9.219753,208
9.223537,208
9.227918,208
9.231384,208
9.235458,208
9.238966,208
9.24263,208
9.246375,208
9.250297,208
9.253846,208
9.257446,208
9.261021,208
9.264981,208
9.269289,208
9.276151,208
9.284892,208
9.288475,208
9.291953,204
9.295395,204
9.299375,204
9.302918,204
9.314052,204
9.318313,204
9.321691,204
9.326353,204
9.32967,204
9.334447,204
9.338099,204
9.341586,204
9.345734,204
9.349426,204
9.353415,204
9.356886,204
9.361332,204
9.366212,204
9.369724,204
9.373934,204
9.377613,204
9.381762,204
9.385625,204
9.38923,204
9.392604,204
9.396375,204
9.399919,204
9.403707,204
9.41106,204
9.420469,204
9.424856,204
9.428619,204
9.432029,204
9.435679,204
9.439278,204
9.443272,204
9.44731,204
9.45089,204
9.454904,204
9.465947,204
9.470526,204
9.474192,204
9.478267,204
9.481681,204
9.485888,204
9.489927,204
9.493424,204
9.496989,204
9.50077,204
9.505547,204
9.509118,204
9.513147,204
9.516583,204
9.521798,204
9.525974,204
9.52951,204
9.533552,204
9.537395,204
9.541247,204
9.549302,204
9.558491,204
9.562051,204
9.566147,204
9.57033,204
9.573812,204
9.57725,204
9.580816,204
9.585061,204
9.589177,204
9.592827,204
9.598007,204
9.601634,204
9.605494,204
9.618405,204
9.621913,204
9.626534,204
9.630852,204
9.634232,204
9.638191,204
9.642238,204
9.646879,204
9.650582,204
9.654079,204
9.658285,204
9.661953,204
9.66683,204
9.670411,204
9.674339,204
9.678051,204
9.681706,204
9.685905,204
9.693396,204
9.702488,204
9.706732,204
9.710241,204
9.714894,204
9.718422,204
9.722382,204
9.726143,204
9.729756,204
9.733227,204
9.738146,204
9.741865,204
9.745574,204
9.749697,204
9.753337,204
9.757782,204
9.762167,204
9.766014,204
9.770218,204
9.773661,204
9.777484,204
9.780988,204
9.786253,204
9.790015,228
9.793487,228
9.797403,228
9.800982,228
9.80515,228
9.809448,228
9.813249,228
9.817274,228
9.820834,228
9.828012,228
9.839098,228
9.84249,228
9.846648,228
9.850354,228
9.853986,228
9.858514,228
9.86203,228
9.866085,228
9.869451,228
9.87305,228
9.87636,228
9.880577,228
9.884952,228
9.888686,228
9.892118,228
9.896056,228
9.899727,228
9.903465,228
9.908853,228
9.922648,228
9.929599,228
9.932949,228
9.936755,228
9.94026,228
9.944908,228
9.948499,228
9.952147,228
9.957011,228
9.960906,228
9.965073,228
9.968561,228
9.975545,228
9.986677,228
9.991277,228
9.994677,228
9.998672,228
10.00281,228
10.00723,228
10.01067,228
10.0143,228
10.01794,228
10.0218,228
10.02689,228
10.03036,228
10.0343,228
10.03812,228
10.0419,228
10.04584,228
10.05006,228
10.05388,228
10.05728,228
10.06102,228
10.06484,228
10.06944,228
10.07413,228
10.07764,228
10.08138,228
10.0854,228
10.0895,228
10.09283,228
10.09739,228
10.10143,228
10.10543,228
10.10914,228
10.11703,228
10.12678,228
10.13107,228
10.13457,228
10.13852,228
10.14191,228
10.14698,228
10.15143,228
10.1549,228
10.15896,228
10.16244,228
10.16711,228
10.17152,228
10.17503,228
10.17866,228
10.18245,228
10.18641,228
10.18977,228
10.19422,228
10.19793,228
10.20158,228
10.20541,228
10.20905,228
10.21324,228
10.21773,228
10.22167,228
10.22535,228
10.22953,228
10.23302,228
10.23707,228
10.2408,228
10.2457,228
10.24979,228
10.25745,228
10.26601,228
10.27295,228
10.28306,228
10.28688,228
10.29184,224
10.2952,224
10.29895,224
10.30231,224
10.30656,224
10.31042,224
10.31459,224
10.31874,224
10.32205,224
10.32632,224
10.32965,224
10.33339,224
10.33799,224
10.34173,224
10.3459,224
10.3493,224
10.35298,224
10.35663,224
10.36055,224
10.36538,224
10.369,224
10.37282,224
10.37639,224
10.38009,224
10.3862,224
10.39003,224
10.3945,224
10.3981,224
10.40211,224
10.41037,224
10.42046,224
10.42504,224
10.42956,224
10.43528,224
10.44572,224
10.45883,224
10.46399,224
10.46802,224
10.4716,224
10.47547,224
10.47913,224
10.48399,224
10.48798,224
10.49195,224
10.49581,224
10.49935,224
10.50319,224
10.50832,224
10.51179,224
10.51566,224
10.52693,224
10.53175,224
10.53571,224
10.53988,224
10.54369,224
10.54837,224
10.55365,224
10.55768,224
10.56187,224
10.56673,224
10.57131,224
10.57552,224
10.58037,224
10.58474,224
10.58972,224
10.59389,224
10.59788,224
10.60365,224
10.60899,224
10.61283,224
10.61664,224
10.62094,224
10.62614,224
10.63041,224
10.63476,224
10.63889,224
10.6426,224
10.64672,224
10.65217,224
10.66031,224
10.66991,224
10.68621,224
10.6991,224
10.70297,224
10.70758,224
10.71136,224
10.71561,224
10.71958,224
10.72386,224
10.72934,224
10.73378,224
10.73773,224
10.74178,224
10.74803,224
10.75191,224
10.75593,224
10.75974,224
10.76384,224
10.76919,224
10.77316,224
10.77758,224
10.78162,224
10.78601,224
10.78998,206
10.79451,206
10.7985,206
10.80277,206
10.80706,206
10.81156,206
10.81591,206
10.82088,206
10.83256,206
10.83717,206
10.84291,206
10.84759,206
10.85169,206
10.85566,206
10.85981,206
10.86374,206
10.87274,206
10.88523,206
10.89139,206
10.89542,206
10.89978,206
10.90478,206
10.90974,206
10.91504,206
10.9194,206
10.92386,206
10.92876,206
10.93294,206
10.93878,206
10.94273,206
10.94734,206
10.95178,206
10.95604,206
10.96059,206
10.96573,206
10.97093,206
10.98416,206
10.99017,206
10.99498,206
11.00032,206
11.00715,206
11.01403,206
11.02036,206
11.02586,206
11.02998,206
11.03585,206
11.04039,206
11.04563,206
11.05025,206
11.05476,206
11.06089,206
11.0669,206
11.0716,206
11.07609,206
11.08213,206
11.09102,206
11.10698,206
11.11399,206
11.11999,206
11.12496,206
11.13807,206
11.14197,206
11.14767,206
11.15302,206
11.15817,206
11.16246,206
11.16754,206
11.17192,206
11.17649,206
11.18072,206
11.18493,206
11.18968,206
11.19378,206
11.1977,206
11.20189,206
11.20613,206
11.20969,206
11.21339,206
11.21749,206
11.22128,206
11.22512,206
11.22903,206
11.23302,206
11.23659,206
11.24014,206
11.24414,206
11.24815,206
11.25146,206
11.25514,206
11.25874,206
11.26276,206
11.26698,206
11.27087,206
11.27453,206
11.28296,188
11.30552,188
11.31001,188
11.31418,188
11.3186,188
11.32306,188
11.32787,188
11.33209,188
11.33577,188
11.34004,188
11.34511,188
11.3493,188
11.35355,188
11.35783,188
11.36195,188
11.36665,188
11.37088,188
11.37525,188
11.37974,188
11.38438,188
11.39085,188
11.39514,188
11.39913,188
11.40315,188
11.40789,188
11.41178,188
11.4159,188
11.41989,188
11.42442,188
11.42874,188
11.43289,188
11.44482,188
11.44955,188
11.45326,188
11.45687,188
11.46023,188
11.46428,188
