time,FPS
207.1422,340
207.1652,340
207.1709,340
207.175,340
207.1792,340
207.183,340
207.188,340
207.1921,340
207.1961,340
207.2001,340
207.2048,340
207.2091,340
207.2129,340
207.2175,340
207.2215,340
207.2265,340
207.2307,340
207.2365,340
207.2415,340
207.2465,340
207.2534,340
207.26,340
207.2651,340
207.272,340
207.2765,340
207.281,340
207.2858,340
207.2905,340
207.2946,340
207.299,340
207.3033,340
207.3083,340
207.3126,340
207.3167,340
207.3211,340
207.3256,340
207.3301,340
207.3345,340
207.3387,340
207.3431,340
207.3478,340
207.3524,340
207.3572,340
207.3615,340
207.3663,340
207.3706,340
207.3753,340
207.3797,340
207.3837,340
207.3881,340
207.3922,340
207.3961,340
207.4004,340
207.4049,340
207.4089,340
207.413,340
207.417,340
207.4207,340
207.4248,272
207.4286,272
207.4326,272
207.4365,272
207.4402,272
207.445,272
207.4494,272
207.4532,272
207.4589,272
207.4633,272
207.4679,272
207.4717,272
207.4762,272
207.4805,272
207.4857,272
207.4904,272
207.4946,272
207.4995,272
207.5036,272
207.5083,272
207.5127,272
207.5163,272
207.5204,272
207.5246,272
207.5292,272
207.5334,272
207.5373,272
207.5413,272
207.5453,272
207.5491,272
207.5532,272
207.5578,272
207.5621,272
207.5667,272
207.5711,272
207.5756,272
207.5801,272
207.5852,272
207.5899,272
207.5945,272
207.5992,272
207.6036,272
207.6084,272
207.613,272
207.6174,272
207.6221,272
207.6273,272
207.6317,272
207.6363,272
207.6411,272
207.6462,272
207.6505,272
207.6552,272
207.6598,272
207.6645,272
207.6696,272
207.6741,272
207.6792,272
207.6841,272
207.6891,272
207.6935,272
207.6984,272
207.7032,272
207.7082,272
207.7132,272
207.7177,272
207.7229,272
207.7283,272
207.7327,272
207.7372,272
207.7416,272
207.7462,272
207.7538,272
207.7623,272
207.7798,272
207.7836,272
207.788,272
207.7921,272
207.7959,272
207.7999,272
207.8044,272
207.8087,272
207.8129,272
207.8165,272
207.8204,272
207.8246,272
207.8283,272
207.8321,272
207.8358,272
207.8399,272
207.8436,272
207.8478,272
207.8513,272
207.8559,272
207.8601,272
207.8641,272
207.868,272
207.8717,272
207.8755,272
207.8792,272
207.8829,272
207.8873,272
207.8909,272
207.8951,272
207.8988,272
207.9026,272
207.9071,272
207.9108,272
207.9149,272
207.9188,272
207.9226,272
207.9267,222
207.9307,222
207.9346,222
207.9384,222
207.9421,222
207.9465,222
207.9505,222
207.9541,222
207.958,222
207.9617,222
207.9661,222
207.9699,222
207.9736,222
207.9776,222
207.9813,222
207.9855,222
207.9896,222
207.994,222
207.9986,222
208.0029,222
208.0078,222
208.0117,222
208.0162,222
208.0208,222
208.0254,222
208.0301,222
208.0346,222
208.0389,222
208.0433,222
208.0483,222
208.0533,222
208.0578,222
208.0623,222
208.0674,222
208.0721,222
208.0768,222
208.0811,222
208.0862,222
208.0912,222
208.0961,222
208.1003,222
208.1051,222
208.1099,222
208.1142,222
208.1186,222
208.1233,222
208.1281,222
208.1325,222
208.1371,222
208.1413,222
208.1463,222
208.152,222
208.1579,222
208.1622,222
208.1672,222
208.1721,222
208.1764,222
208.1809,222
208.1863,222
208.1906,222
208.1951,222
208.1992,222
208.203,222
208.2072,222
208.2108,222
208.2145,222
208.2184,222
208.2226,222
208.2268,222
208.2305,222
208.2348,222
208.2385,222
208.2425,222
208.2466,222
208.2505,222
208.2549,222
208.2586,222
208.2623,222
208.2667,222
208.2707,222
208.2748,222
208.2786,222
208.2838,222
208.288,222
208.2917,222
208.2954,222
208.2995,222
208.3036,222
208.3078,222
208.3115,222
208.3153,222
208.3194,222
208.323,222
208.3272,222
208.3309,222
208.3353,222
208.3392,222
208.3429,222
208.3471,222
208.3508,222
208.3545,222
208.3583,222
208.3621,222
208.3668,222
208.3703,222
208.3745,222
208.3784,222
208.3822,222
208.3861,222
208.3902,222
208.3941,222
208.3979,222
208.4022,222
208.4062,222
208.4102,222
208.414,222
208.4178,222
208.4223,222
208.4277,236
208.4323,236
208.436,236
208.4402,236
208.4443,236
208.448,236
208.4518,236
208.4556,236
208.4595,236
208.4634,236
208.4675,236
208.4713,236
208.4753,236
208.4792,236
208.4829,236
208.4873,236
208.4915,236
208.4952,236
208.4992,236
208.5035,236
208.508,236
208.5117,236
208.5156,236
208.5193,236
208.5231,236
208.5275,236
208.5311,236
208.535,236
208.5399,236
208.5439,236
208.5482,236
208.5522,236
208.556,236
208.5603,236
208.5656,236
208.5704,236
208.5771,236
208.5859,236
208.6014,236
208.6054,236
208.6099,236
208.6148,236
208.6187,236
208.6223,236
208.6263,236
208.63,236
208.6338,236
208.6378,236
208.6413,236
208.6453,236
208.6491,236
208.653,236
208.6567,236
