time,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z
562.5019,-23.24234,2,47.16114,0.000001,85.02238,-0.000003
562.5059,-23.24234,2,47.16114,0.000001,85.02238,-0.000003
562.5087,-23.24234,2,47.16114,0.000001,85.02238,-0.000003
562.5187,-23.24234,2,47.16114,0.000001,85.02238,-0.000003
562.5238,-23.24234,1.996076,47.16114,0.000001,85.02238,-0.000003
562.5269,-23.24234,1.996076,47.16114,0.000001,85.02238,-0.000003
562.5292,-23.24234,1.996076,47.16114,0.000001,85.02238,-0.000003
562.5324,-23.24234,1.996076,47.16114,0.000001,85.02238,-0.000003
562.5353,-23.24234,1.996076,47.16114,0.000001,85.02238,-0.000003
562.5378,-23.24234,1.996076,47.16114,0.000001,85.02238,-0.000003
562.5409,-23.24234,1.988228,47.16114,0.000001,85.02238,-0.000003
562.5437,-23.24234,1.988228,47.16114,0.000001,85.02238,-0.000003
562.5462,-23.24234,1.988228,47.16114,0.000001,85.02238,-0.000003
562.5491,-23.24234,1.988228,47.16114,0.000001,85.02238,-0.000003
562.5516,-23.24234,1.988228,47.16114,0.000001,85.02238,-0.000003
562.5542,-23.24234,1.988228,47.16114,0.000001,85.02238,-0.000003
562.5567,-23.24234,1.988228,47.16114,0.000001,85.02238,-0.000003
562.5592,-23.24234,1.988228,47.16114,0.000001,85.02238,-0.000003
562.5619,-23.24234,1.976456,47.16114,0.000001,85.02238,-0.000003
562.5647,-23.24234,1.976456,47.16114,0.000001,85.02238,-0.000003
562.567,-23.24234,1.976456,47.16114,0.000001,85.02238,-0.000003
562.5696,-23.24234,1.976456,47.16114,0.000001,85.02238,-0.000003
562.5721,-23.24234,1.976456,47.16114,0.000001,85.02238,-0.000003
562.5749,-23.24234,1.976456,47.16114,0.000001,85.02238,-0.000003
562.5776,-23.24234,1.976456,47.16114,0.000001,85.02238,-0.000003
562.5812,-23.24234,1.96076,47.16114,0.000001,85.02238,-0.000003
562.5851,-23.24234,1.96076,47.16114,0.000001,85.02238,-0.000003
562.5876,-23.24234,1.96076,47.16114,0.000001,85.02238,-0.000003
562.5903,-23.24234,1.96076,47.16114,0.000001,85.02238,-0.000003
562.5929,-23.24234,1.96076,47.16114,0.000001,85.02238,-0.000003
562.5955,-23.24234,1.96076,47.16114,0.000001,85.02238,-0.000003
562.5981,-23.24234,1.96076,47.16114,0.000001,85.02238,-0.000003
562.6007,-23.24234,1.94114,47.16114,0.000001,85.02238,-0.000003
562.6038,-23.24234,1.94114,47.16114,0.000001,85.02238,-0.000003
562.6063,-23.24234,1.94114,47.16114,0.000001,85.02238,-0.000003
562.609,-23.24234,1.94114,47.16114,0.000001,85.02238,-0.000003
562.6117,-23.24234,1.94114,47.16114,0.000001,85.02238,-0.000003
562.6143,-23.24234,1.94114,47.16114,0.000001,85.02238,-0.000003
562.617,-23.24234,1.94114,47.16114,0.000001,85.02238,-0.000003
562.6194,-23.24234,1.94114,47.16114,0.000001,85.02238,-0.000003
562.6221,-23.24234,1.917596,47.16114,0.000001,85.02238,-0.000003
562.6251,-23.24234,1.917596,47.16114,0.000001,85.02238,-0.000003
562.6275,-23.24234,1.917596,47.16114,0.000001,85.02238,-0.000003
562.6303,-23.24234,1.917596,47.16114,0.000001,85.02238,-0.000003
562.633,-23.24234,1.917596,47.16114,0.000001,85.02238,-0.000003
562.6356,-23.24234,1.917596,47.16114,0.000001,85.02238,-0.000003
562.6383,-23.24234,1.917596,47.16114,0.000001,85.02238,-0.000003
562.6408,-23.24234,1.890128,47.16114,0.000001,85.02238,-0.000003
562.644,-23.24234,1.890128,47.16114,0.000001,85.02238,-0.000003
562.6464,-23.24234,1.890128,47.16114,0.000001,85.02238,-0.000003
562.6489,-23.24234,1.890128,47.16114,0.000001,85.02238,-0.000003
562.6515,-23.24234,1.890128,47.16114,0.000001,85.02238,-0.000003
562.6541,-23.24234,1.890128,47.16114,0.000001,85.02238,-0.000003
562.6568,-23.24234,1.890128,47.16114,0.000001,85.02238,-0.000003
562.6595,-23.24234,1.890128,47.16114,0.000001,85.02238,-0.000003
562.6622,-23.24234,1.858736,47.16114,0.000001,85.02238,-0.000003
562.6658,-23.24234,1.858736,47.16114,0.000001,85.02238,-0.000003
562.6682,-23.24234,1.858736,47.16114,0.000001,85.02238,-0.000003
562.6707,-23.24234,1.858736,47.16114,0.000001,85.02238,-0.000003
562.6732,-23.24234,1.858736,47.16114,0.000001,85.02238,-0.000003
562.6757,-23.24234,1.858736,47.16114,0.000001,85.02238,-0.000003
562.6781,-23.24234,1.858736,47.16114,0.000001,85.02238,-0.000003
562.6805,-23.24234,1.82342,47.16114,0.000001,85.02238,-0.000003
562.6835,-23.24234,1.82342,47.16114,0.000001,85.02238,-0.000003
562.686,-23.24234,1.82342,47.16114,0.000001,85.02238,-0.000003
562.6883,-23.24234,1.82342,47.16114,0.000001,85.02238,-0.000003
562.6907,-23.24234,1.82342,47.16114,0.000001,85.02238,-0.000003
562.6932,-23.24234,1.82342,47.16114,0.000001,85.02238,-0.000003
562.6957,-23.24234,1.82342,47.16114,0.000001,85.02238,-0.000003
562.6982,-23.24234,1.82342,47.16114,0.000001,85.02238,-0.000003
562.7009,-23.24234,1.78418,47.16114,0.000001,85.02238,-0.000003
562.7037,-23.24234,1.78418,47.16114,0.000001,85.02238,-0.000003
562.7061,-23.24234,1.78418,47.16114,0.000001,85.02238,-0.000003
562.7087,-23.24234,1.78418,47.16114,0.000001,85.02238,-0.000003
562.7113,-23.24234,1.78418,47.16114,0.000001,85.02238,-0.000003
562.7143,-23.24234,1.78418,47.16114,0.000001,85.02238,-0.000003
562.7167,-23.24234,1.78418,47.16114,0.000001,85.02238,-0.000003
562.7192,-23.24234,1.78418,47.16114,0.000001,85.02238,-0.000003
562.7218,-23.24234,1.741016,47.16114,0.000001,85.02238,-0.000003
562.7247,-23.24234,1.741016,47.16114,0.000001,85.02238,-0.000003
562.7274,-23.24234,1.741016,47.16114,0.000001,85.02238,-0.000003
562.7298,-23.24234,1.741016,47.16114,0.000001,85.02238,-0.000003
562.7322,-23.24234,1.741016,47.16114,0.000001,85.02238,-0.000003
562.735,-23.24234,1.741016,47.16114,0.000001,85.02238,-0.000003
562.7376,-23.24234,1.741016,47.16114,0.000001,85.02238,-0.000003
562.7402,-23.24234,1.693928,47.16114,0.000001,85.02238,-0.000003
562.7438,-23.24234,1.693928,47.16114,0.000001,85.02238,-0.000003
562.7468,-23.24234,1.693928,47.16114,0.000001,85.02238,-0.000003
562.7496,-23.24234,1.693928,47.16114,0.000001,85.02238,-0.000003
562.7523,-23.24234,1.693928,47.16114,0.000001,85.02238,-0.000003
562.7548,-23.24234,1.693928,47.16114,0.000001,85.02238,-0.000003
562.7573,-23.24234,1.693928,47.16114,0.000001,85.02238,-0.000003
562.7599,-23.24234,1.693928,47.16114,0.000001,85.02238,-0.000003
562.7625,-23.24234,1.642916,47.16114,0.000001,85.02238,-0.000003
562.7654,-23.24234,1.642916,47.16114,0.000001,85.02238,-0.000003
562.7677,-23.24234,1.642916,47.16114,0.000001,85.02238,-0.000003
562.7703,-23.24234,1.642916,47.16114,0.000001,85.02238,-0.000003
562.773,-23.24234,1.642916,47.16114,0.000001,85.02238,-0.000003
562.7755,-23.24234,1.642916,47.16114,0.000001,85.02238,-0.000003
562.778,-23.24234,1.642916,47.16114,0.000001,85.02238,-0.000003
562.7805,-23.24234,1.58798,47.16114,0.000001,85.02238,-0.000003
562.7833,-23.24234,1.58798,47.16114,0.000001,85.02238,-0.000003
562.7856,-23.24234,1.58798,47.16114,0.000001,85.02238,-0.000003
562.7881,-23.24234,1.58798,47.16114,0.000001,85.02238,-0.000003
562.7908,-23.24234,1.58798,47.16114,0.000001,85.02238,-0.000003
562.7932,-23.24234,1.58798,47.16114,0.000001,85.02238,-0.000003
562.7958,-23.24234,1.58798,47.16114,0.000001,85.02238,-0.000003
562.7984,-23.24234,1.58798,47.16114,0.000001,85.02238,-0.000003
562.801,-23.24234,1.52912,47.16114,0.000001,85.02238,-0.000003
562.8041,-23.24234,1.52912,47.16114,0.000001,85.02238,-0.000003
562.8066,-23.24234,1.52912,47.16114,0.000001,85.02238,-0.000003
562.8091,-23.24234,1.52912,47.16114,0.000001,85.02238,-0.000003
562.8118,-23.24234,1.52912,47.16114,0.000001,85.02238,-0.000003
562.8142,-23.24234,1.52912,47.16114,0.000001,85.02238,-0.000003
562.8171,-23.24234,1.52912,47.16114,0.000001,85.02238,-0.000003
562.8198,-23.24234,1.52912,47.16114,0.000001,85.02238,-0.000003
562.8223,-23.24234,1.466336,47.16114,0.000001,85.02238,-0.000003
