time,rayIndex,x,y,objectDetected
276.6404,0,0.05,0.05,Floor
276.6404,1,0.15,0.05,Floor
276.6404,2,0.25,0.05,Floor
276.6404,3,0.35,0.05,trialStarter
276.6404,4,0.45,0.05,trialStarter
276.6404,5,0.55,0.05,trialStarter
276.6404,6,0.65,0.05,Floor
276.6404,7,0.75,0.05,Floor
276.6404,8,0.85,0.05,Floor
276.6404,9,0.95,0.05,Floor
276.6404,10,0.05,0.15,Floor
276.6404,11,0.15,0.15,Floor
276.6404,12,0.25,0.15,Floor
276.6404,13,0.35,0.15,Floor
276.6404,14,0.45,0.15,trialStarter
276.6404,15,0.55,0.15,Floor
276.6404,16,0.65,0.15,Floor
276.6404,17,0.75,0.15,Floor
276.6404,18,0.85,0.15,Floor
276.6404,19,0.95,0.15,Floor
276.6404,20,0.05,0.25,Floor
276.6404,21,0.15,0.25,Floor
276.6404,22,0.25,0.25,Floor
276.6404,23,0.35,0.25,Floor
276.6404,24,0.45,0.25,Floor
276.6404,25,0.55,0.25,Floor
276.6404,26,0.65,0.25,Floor
276.6404,27,0.75,0.25,Floor
276.6404,28,0.85,0.25,Floor
276.6404,29,0.95,0.25,Floor
276.6404,30,0.05,0.35,Floor
276.6404,31,0.15,0.35,Floor
276.6404,32,0.25,0.35,Floor
276.6404,33,0.35,0.35,Floor
276.6404,34,0.45,0.35,Floor
276.6404,35,0.55,0.35,Floor
276.6404,36,0.65,0.35,Floor
276.6404,37,0.75,0.35,Floor
276.6404,38,0.85,0.35,Floor
276.6404,39,0.95,0.35,Floor
276.6404,40,0.05,0.45,Floor
276.6404,41,0.15,0.45,Floor
276.6404,42,0.25,0.45,Floor
276.6404,43,0.35,0.45,Floor
276.6404,44,0.45,0.45,Floor
276.6404,45,0.55,0.45,Floor
276.6404,46,0.65,0.45,Floor
276.6404,47,0.75,0.45,Floor
276.6404,48,0.85,0.45,Floor
276.6404,49,0.95,0.45,Wall4
276.6404,50,0.05,0.55,Wall3
276.6404,51,0.15,0.55,Wall3
276.6404,52,0.25,0.55,Wall3
276.6404,53,0.35,0.55,Wall3
276.6404,54,0.45,0.55,Wall3
276.6404,55,0.55,0.55,Wall3
276.6404,56,0.65,0.55,Wall4
276.6404,57,0.75,0.55,Cube99
276.6404,58,0.85,0.55,Wall4
276.6404,59,0.95,0.55,Wall4
276.6404,60,0.05,0.65,Wall3
276.6404,61,0.15,0.65,Wall3
276.6404,62,0.25,0.65,Wall3
276.6404,63,0.35,0.65,Wall3
276.6404,64,0.45,0.65,Wall3
276.6404,65,0.55,0.65,Wall3
276.6404,66,0.65,0.65,Wall4
276.6404,67,0.75,0.65,Wall4
276.6404,68,0.85,0.65,Wall4
276.6404,69,0.95,0.65,Wall4
276.6404,70,0.05,0.75,Wall3
276.6404,71,0.15,0.75,Wall3
276.6404,72,0.25,0.75,Wall3
276.6404,73,0.35,0.75,Wall3
276.6404,74,0.45,0.75,Wall3
276.6404,75,0.55,0.75,Wall3
276.6404,76,0.65,0.75,Wall4
276.6404,77,0.75,0.75,Wall4
276.6404,78,0.85,0.75,Wall4
276.6404,79,0.95,0.75,Wall4
276.6404,80,0.05,0.85,Wall3
276.6404,81,0.15,0.85,Wall3
276.6404,82,0.25,0.85,Wall3
276.6404,83,0.35,0.85,NA
276.6404,84,0.45,0.85,NA
276.6404,85,0.55,0.85,NA
276.6404,86,0.65,0.85,NA
276.6404,87,0.75,0.85,NA
276.6404,88,0.85,0.85,Wall4
276.6404,89,0.95,0.85,Wall4
276.6404,90,0.05,0.95,Wall3
276.6404,91,0.15,0.95,NA
276.6404,92,0.25,0.95,NA
276.6404,93,0.35,0.95,NA
276.6404,94,0.45,0.95,NA
276.6404,95,0.55,0.95,NA
276.6404,96,0.65,0.95,NA
276.6404,97,0.75,0.95,NA
276.6404,98,0.85,0.95,NA
276.6404,99,0.95,0.95,Wall4
